MJD,mA,e_mA,mB,e_mB
117.000,16.970,0.023,16.927,0.022
118.020,16.961,0.023,16.919,0.022
119.060,16.975,0.023,16.934,0.022
120.040,16.924,0.022,16.879,0.021
122.000,17.012,0.023,16.961,0.022
124.970,16.921,0.016,16.887,0.016
127.000,16.962,0.015,16.924,0.016
140.130,16.917,0.016,16.955,0.016
141.980,16.971,0.019,16.981,0.019
143.080,16.956,0.021,16.962,0.020
160.030,16.945,0.015,16.966,0.015
163.010,16.931,0.016,16.942,0.016
168.110,16.888,0.017,16.901,0.017
169.030,16.946,0.016,16.963,0.016
173.900,16.983,0.022,16.964,0.021
174.870,16.982,0.024,16.971,0.022
175.870,16.916,0.023,16.924,0.021
176.890,16.937,0.023,16.965,0.022
177.870,16.927,0.023,16.917,0.021
178.860,16.951,0.021,16.939,0.020
179.950,16.944,0.019,16.924,0.019
187.950,16.981,0.015,16.973,0.016
189.020,16.986,0.019,16.969,0.018
190.040,16.986,0.016,16.944,0.017
190.940,16.992,0.015,16.956,0.016
201.900,16.976,0.020,16.957,0.020
202.890,16.945,0.022,16.947,0.020
204.860,16.979,0.021,17.007,0.020
213.900,17.013,0.017,17.008,0.017
230.925,17.001,0.023,17.013,0.022
233.920,17.047,0.026,17.017,0.025
237.880,17.005,0.019,17.006,0.019
238.890,17.022,0.019,17.015,0.018
240.890,17.002,0.021,16.974,0.020
241.900,16.993,0.018,16.985,0.018
347.250,17.037,0.037,16.984,0.034
353.250,16.976,0.036,16.937,0.033
354.240,17.041,0.038,16.976,0.035
356.240,17.041,0.033,16.948,0.031
360.220,17.065,0.036,16.966,0.033
361.220,17.030,0.034,16.947,0.031
362.210,17.045,0.032,16.965,0.030
411.250,16.966,0.028,16.934,0.026
413.240,16.965,0.029,16.921,0.027
420.260,16.959,0.028,16.945,0.026
431.080,16.871,0.028,16.866,0.026
436.030,16.868,0.030,16.892,0.027
437.040,16.930,0.025,16.925,0.024
452.000,16.913,0.022,16.931,0.021
455.170,16.902,0.022,16.931,0.021
466.980,16.939,0.031,16.948,0.028
472.130,16.873,0.035,16.865,0.032
473.070,16.936,0.034,16.917,0.031
482.030,16.922,0.025,16.912,0.024
486.155,16.899,0.025,16.886,0.024
488.000,16.916,0.025,16.905,0.023
495.060,16.859,0.026,16.863,0.025
496.060,16.941,0.028,16.922,0.026
498.070,16.936,0.032,16.908,0.029
504.950,16.913,0.026,16.901,0.025
512.020,16.900,0.025,16.858,0.023
513.010,16.901,0.024,16.873,0.023
514.990,16.947,0.023,16.914,0.022
519.080,16.957,0.026,16.926,0.025
532.090,16.974,0.037,16.953,0.033
537.110,16.934,0.027,16.901,0.026
539.050,16.963,0.024,16.921,0.023
540.010,16.933,0.027,16.912,0.024
547.920,16.967,0.025,16.930,0.024
548.880,16.944,0.025,16.899,0.024
556.870,16.969,0.032,16.913,0.030
564.880,16.929,0.033,16.892,0.030
570.900,16.974,0.025,16.918,0.024
571.890,16.978,0.024,16.906,0.023
572.900,16.984,0.027,16.911,0.026
573.895,17.004,0.032,16.939,0.030
582.980,16.982,0.028,16.920,0.027
583.880,16.993,0.032,16.967,0.029
