HJD,A,e_A,B,e_B,Filt
2454807.819,-0.25,0.01,1.03,0.01,R
2454814.838,-0.25,0.01,1.02,0.01,R
2454821.782,-0.25,0.01,1.04,0.01,R
2454828.778,-0.24,0.01,1.03,0.02,R
2454837.771,-0.28,0.01,1.04,0.02,R
2454845.728,-0.27,0.01,1.04,0.01,R
2454852.783,-0.26,0.01,1.04,0.02,R
2454856.695,-0.26,0.01,1.03,0.01,R
2454860.710,-0.26,0.01,1.03,0.02,R
2454864.795,-0.26,0.01,1.03,0.01,R
2454868.735,-0.26,0.01,1.04,0.01,R
2454883.725,-0.25,0.01,1.04,0.01,R
2454908.700,-0.25,0.01,1.00,0.01,R
2454915.699,-0.24,0.01,1.01,0.02,R
2454922.657,-0.24,0.01,1.00,0.01,R
2454935.629,-0.24,0.01,0.98,0.01,R
2454942.583,-0.25,0.02,0.98,0.02,R
2454949.575,-0.27,0.01,0.98,0.02,R
2454964.552,-0.29,0.01,0.94,0.01,R
2454971.634,-0.28,0.01,0.86,0.02,R
2454990.526,-0.27,0.01,0.90,0.01,R
2454994.525,-0.27,0.01,0.91,0.02,R
2455174.833,-0.42,0.01,0.68,0.01,R
2455181.831,-0.43,0.02,0.69,0.04,R
2455188.766,-0.44,0.01,0.69,0.01,R
2455202.812,-0.47,0.01,0.67,0.01,R
2455209.817,-0.49,0.01,0.68,0.01,R
2455216.779,-0.51,0.01,0.67,0.02,R
2455223.751,-0.52,0.01,0.70,0.02,R
2455235.784,-0.52,0.01,0.70,0.01,R
2455243.764,-0.53,0.02,0.71,0.02,R
2455244.777,-0.52,0.01,0.71,0.01,R
2455249.774,-0.53,0.01,0.70,0.01,R
2455258.729,-0.56,0.01,0.69,0.01,R
2455264.700,-0.57,0.01,0.72,0.02,R
2455271.671,-0.61,0.02,0.72,0.02,R
2455276.748,-0.62,0.01,0.74,0.02,R
2455281.758,-0.63,0.01,0.72,0.02,R
2455289.656,-0.65,0.01,0.76,0.01,R
2455293.632,-0.65,0.01,0.74,0.01,R
2455300.573,-0.66,0.01,0.75,0.01,R
2455307.533,-0.66,0.01,0.76,0.01,R
2455321.544,-0.66,0.01,0.79,0.01,R
2455325.570,-0.67,0.01,0.78,0.02,R
2455335.537,-0.65,0.01,0.79,0.01,R
2455341.512,-0.65,0.01,0.77,0.01,R
2455348.501,-0.63,0.01,0.81,0.01,R
2455356.493,-0.63,0.01,0.80,0.01,R
2455533.798,-0.49,0.01,0.76,0.01,R
2455541.853,-0.48,0.01,0.69,0.02,R
2455542.844,-0.47,0.02,0.71,0.02,R
2455549.760,-0.48,0.01,0.75,0.01,R
2455558.862,-0.48,0.02,0.64,0.02,R
2455564.758,-0.48,0.01,0.74,0.01,R
2455570.873,-0.47,0.02,0.64,0.02,R
2455577.847,-0.46,0.02,0.68,0.02,R
2455591.781,-0.48,0.01,0.70,0.01,R
2455599.770,-0.49,0.01,0.64,0.02,R
2455606.804,-0.49,0.01,0.68,0.01,R
2455618.813,-0.51,0.01,0.59,0.01,R
2455624.722,-0.49,0.01,0.65,0.01,R
2455633.784,-0.51,0.01,0.61,0.02,R
2455648.688,-0.53,0.01,0.59,0.02,R
2455656.601,-0.55,0.01,0.62,0.01,R
2455672.544,-0.52,0.02,0.61,0.02,R
2455687.547,-0.53,0.01,0.63,0.01,R
2455701.481,-0.53,0.01,0.61,0.02,R
2455708.508,-0.52,0.02,0.56,0.02,R
2455740.493,-0.59,0.01,0.56,0.01,R
2455762.473,-0.59,0.02,0.53,0.02,R
