MJD,mA,e_mA,mB,e_mB,mC,e_mC,mD,e_mD,mbeta,e_mbeta
6559.615,17.293,0.016,18.400,0.015,18.685,0.028,18.562,0.026,18.259,0.018
6565.601,17.305,0.010,18.406,0.009,18.773,0.018,18.557,0.016,18.276,0.011
6571.629,17.314,0.020,18.407,0.018,18.787,0.036,18.622,0.034,18.275,0.023
6577.540,17.311,0.012,18.408,0.011,18.730,0.021,18.641,0.020,18.280,0.014
6589.608,17.306,0.022,18.373,0.020,18.714,0.037,18.606,0.036,18.271,0.024
6842.928,17.257,0.014,18.406,0.013,18.747,0.024,18.797,0.025,18.283,0.016
6844.916,17.242,0.009,18.383,0.008,18.762,0.016,18.800,0.017,18.286,0.010
6859.923,17.244,0.010,18.353,0.009,18.776,0.018,18.808,0.019,18.267,0.012
6869.873,17.233,0.011,18.395,0.010,18.799,0.020,18.820,0.021,18.267,0.013
6887.888,17.215,0.010,18.371,0.009,18.764,0.018,18.828,0.019,18.265,0.011
6920.784,17.229,0.011,18.368,0.010,18.821,0.020,18.804,0.020,18.294,0.013
6922.768,17.206,0.012,18.359,0.011,18.768,0.022,18.854,0.023,18.272,0.014
6925.737,17.209,0.012,18.366,0.011,18.751,0.022,18.835,0.023,18.271,0.014
6929.745,17.216,0.011,18.369,0.010,18.795,0.021,18.815,0.021,18.280,0.013
7201.937,17.424,0.013,18.467,0.012,18.884,0.023,18.966,0.024,18.259,0.014
7202.945,17.445,0.017,18.494,0.015,18.784,0.028,19.084,0.033,18.256,0.018
7204.945,17.423,0.030,18.485,0.027,18.825,0.052,19.036,0.058,18.267,0.032
7211.920,17.431,0.015,18.498,0.014,18.809,0.025,19.077,0.029,18.273,0.016
7214.965,17.435,0.019,18.492,0.017,18.856,0.032,19.023,0.035,18.281,0.019
7227.918,17.437,0.012,18.453,0.011,18.832,0.021,19.018,0.023,18.281,0.013
7246.844,17.433,0.011,18.493,0.010,18.781,0.018,19.050,0.021,18.280,0.012
7257.849,17.463,0.012,18.514,0.011,18.780,0.020,19.048,0.023,18.285,0.012
7274.782,17.431,0.011,18.471,0.010,18.772,0.019,19.028,0.022,18.284,0.012
7298.778,17.382,0.016,18.415,0.014,18.680,0.026,19.004,0.030,18.268,0.017
7300.771,17.380,0.012,18.410,0.011,18.664,0.019,18.997,0.023,18.267,0.013
7304.708,17.375,0.014,18.417,0.013,18.659,0.023,19.026,0.028,18.276,0.015
7307.724,17.353,0.011,18.399,0.010,18.611,0.018,19.008,0.022,18.259,0.012
7309.724,17.357,0.012,18.420,0.010,18.645,0.019,18.999,0.022,18.288,0.013
7315.708,17.335,0.013,18.389,0.012,18.619,0.021,19.008,0.026,18.260,0.014
7580.891,17.098,0.010,18.368,0.010,19.305,0.025,19.037,0.023,18.268,0.013
7585.902,17.091,0.013,18.366,0.013,19.302,0.032,18.987,0.028,18.268,0.016
7600.924,17.102,0.010,18.363,0.010,19.373,0.026,18.985,0.022,18.268,0.012
7605.916,17.151,0.010,18.364,0.010,19.397,0.026,18.959,0.021,18.294,0.012
7608.883,17.153,0.011,18.348,0.010,19.303,0.026,18.993,0.023,18.263,0.013
7611.888,17.177,0.011,18.354,0.011,19.323,0.027,19.020,0.024,18.273,0.013
7622.877,17.226,0.022,18.328,0.020,19.444,0.054,18.999,0.045,18.264,0.025
7628.855,17.241,0.013,18.342,0.012,19.396,0.032,19.008,0.027,18.268,0.015
7633.796,17.264,0.011,18.347,0.010,19.439,0.026,18.993,0.022,18.281,0.012
7652.744,17.316,0.015,18.361,0.013,19.439,0.036,19.002,0.030,18.272,0.017
7655.722,17.314,0.015,18.373,0.013,19.407,0.034,18.995,0.029,18.269,0.016
7658.720,17.317,0.015,18.363,0.013,19.372,0.034,18.989,0.029,18.267,0.016
7664.726,17.350,0.015,18.392,0.013,19.423,0.035,19.006,0.029,18.283,0.017
7666.728,17.352,0.015,18.367,0.013,19.444,0.036,19.034,0.030,18.276,0.017
7667.684,17.354,0.016,18.373,0.014,19.442,0.037,19.035,0.031,18.269,0.017
7669.749,17.359,0.015,18.393,0.013,19.479,0.036,19.023,0.029,18.271,0.016
7671.699,17.384,0.019,18.393,0.017,19.468,0.044,18.978,0.036,18.283,0.020
7688.697,17.416,0.018,18.408,0.015,19.495,0.041,19.029,0.034,18.260,0.019
7689.675,17.430,0.011,18.406,0.010,19.545,0.027,19.048,0.022,18.270,0.012
7698.647,17.440,0.011,18.400,0.009,19.568,0.026,19.001,0.020,18.281,0.011
7940.922,17.417,0.020,18.230,0.016,19.462,0.045,18.876,0.035,18.290,0.021
7964.933,17.450,0.016,18.236,0.013,19.482,0.037,18.895,0.029,18.303,0.017
7984.938,17.435,0.015,18.227,0.012,19.450,0.035,18.848,0.027,18.294,0.016
7987.884,17.438,0.014,18.241,0.011,19.454,0.031,18.889,0.024,18.284,0.014
7991.866,17.446,0.015,18.240,0.012,19.498,0.035,18.817,0.026,18.278,0.016
8005.833,17.433,0.027,18.228,0.021,19.516,0.063,18.818,0.046,18.288,0.028
8006.819,17.442,0.021,18.218,0.016,19.480,0.047,18.842,0.036,18.302,0.022
8008.833,17.392,0.018,18.203,0.014,19.443,0.042,18.850,0.032,18.268,0.019
8010.836,17.422,0.015,18.211,0.012,19.502,0.036,18.797,0.026,18.291,0.016
8020.755,17.375,0.015,18.177,0.012,19.423,0.035,18.805,0.026,18.284,0.016
8034.715,17.411,0.022,18.200,0.017,19.465,0.050,18.796,0.037,18.292,0.023
8036.705,17.416,0.017,18.205,0.013,19.437,0.038,18.834,0.029,18.280,0.018
8039.685,17.444,0.016,18.232,0.012,19.508,0.036,18.833,0.027,18.303,0.016
8041.688,17.415,0.015,18.218,0.012,19.519,0.034,18.842,0.025,18.284,0.015
8058.681,17.472,0.057,18.243,0.045,19.506,0.131,18.833,0.097,18.294,0.059
8063.679,17.451,0.028,18.212,0.022,19.611,0.068,18.813,0.048,18.290,0.029
8068.615,17.475,0.017,18.280,0.013,19.524,0.039,18.820,0.028,18.300,0.017
8076.614,17.500,0.017,18.283,0.013,19.614,0.039,18.899,0.029,18.312,0.017
8303.906,17.502,0.012,18.257,0.010,19.518,0.028,18.554,0.018,18.291,0.013
8305.898,17.485,0.011,18.246,0.009,19.508,0.025,18.509,0.016,18.247,0.011
8314.958,17.478,0.011,18.258,0.009,19.495,0.025,18.588,0.017,18.263,0.011
8326.946,17.497,0.027,18.250,0.021,19.549,0.062,18.464,0.038,18.279,0.027
8346.858,17.490,0.009,18.228,0.007,19.493,0.020,18.477,0.012,18.274,0.009
8369.817,17.479,0.011,18.268,0.009,19.558,0.026,18.444,0.016,18.272,0.012
8372.757,17.504,0.010,18.237,0.008,19.463,0.022,18.428,0.014,18.284,0.010
8376.762,17.520,0.010,18.255,0.007,19.531,0.022,18.436,0.013,18.322,0.010
8393.765,17.531,0.010,18.257,0.008,19.536,0.024,18.405,0.014,18.259,0.011
8722.811,17.767,0.014,18.301,0.010,19.674,0.031,18.102,0.015,18.280,0.013
