RAJ2000,DEJ2000,Name,Img,LC,lc,sp1,sp2,sp3,SName
09 13 01.05,+52 59 28.8,QSO B0909+532,AB,LC,table4.dat,,,,QSO B0909+5312
09 51 22.57,+26 35 14.1,FBQS J0951+2635,AB,LC,table5.dat,,,,FBQS J0951+2635
10 01 20.78,+55 53 49.4,QSO B0957+561,AB,LC,table6.dat,table8?.dat,table9?.dat,table10?.dat,QSO J1001+5553
14 15 46.40,+11 29 41.4,QSO B1413+117,ABCD,LC,table15.dat,,,,QSO J1415+1129
22 40 30.34,+03 21 28.8,QSO B2237+0305,ABCD,LC,table16.dat,,,,QSO J2240+0321
10 01 28.61,+50 27 56.9,SDSS J1001+5027,AB,LC,,table13?.dat,table14?.dat,,[OIH2005] SDSS J1001+5027
