MJD,mA,e_mA,mB,e_mB,mC,e_mC,mD,e_mD,mbeta,e_mbeta
6530.030,17.118,0.014,18.213,0.030,18.557,0.042,18.291,0.031,17.788,0.010
6534.066,17.125,0.011,18.200,0.024,18.583,0.034,18.297,0.025,17.808,0.008
6538.008,17.083,0.013,18.202,0.029,18.565,0.040,18.272,0.030,17.824,0.009
6543.930,17.100,0.013,18.205,0.027,18.504,0.037,18.326,0.028,17.785,0.009
6557.906,17.131,0.016,18.199,0.033,18.516,0.046,18.430,0.037,17.796,0.011
6564.934,17.138,0.012,18.198,0.024,18.567,0.034,18.413,0.027,17.813,0.008
6571.884,17.144,0.012,18.199,0.025,18.519,0.034,18.446,0.028,17.810,0.008
6578.832,17.113,0.019,18.164,0.039,18.513,0.054,18.440,0.044,17.789,0.013
6585.901,17.136,0.017,18.211,0.035,18.542,0.048,18.475,0.039,17.806,0.011
6592.845,17.133,0.014,18.168,0.029,18.572,0.041,18.484,0.033,17.814,0.009
6600.810,17.148,0.014,18.203,0.028,18.576,0.040,18.495,0.033,17.800,0.009
6622.806,17.142,0.013,18.254,0.028,18.659,0.041,18.511,0.032,17.795,0.009
6643.812,17.172,0.020,18.262,0.043,18.613,0.060,18.544,0.048,17.805,0.013
6650.805,17.168,0.017,18.224,0.036,18.635,0.052,18.562,0.042,17.816,0.011
6844.087,17.075,0.014,18.135,0.029,18.594,0.042,18.569,0.035,17.817,0.009
6851.041,17.095,0.032,18.156,0.067,18.726,0.104,18.594,0.082,17.781,0.022
6857.097,17.089,0.014,18.198,0.030,18.618,0.044,18.612,0.036,17.818,0.010
6864.018,17.096,0.014,18.183,0.030,18.689,0.045,18.553,0.035,17.798,0.010
6871.016,17.069,0.012,18.201,0.027,18.617,0.038,18.652,0.033,17.802,0.008
6878.121,17.080,0.022,18.178,0.045,18.661,0.068,18.656,0.057,17.799,0.015
6884.987,17.051,0.016,18.200,0.035,18.643,0.052,18.699,0.044,17.817,0.011
6891.988,17.073,0.013,18.168,0.027,18.544,0.039,18.643,0.034,17.804,0.009
6898.970,17.065,0.016,18.154,0.034,18.588,0.049,18.638,0.042,17.808,0.011
6918.108,17.087,0.014,18.166,0.029,18.619,0.043,18.749,0.038,17.824,0.009
6923.899,17.039,0.012,18.180,0.027,18.603,0.039,18.733,0.035,17.822,0.009
6938.894,17.063,0.028,18.180,0.060,18.562,0.085,18.702,0.076,17.828,0.019
6944.848,17.065,0.014,18.152,0.030,18.619,0.045,18.696,0.039,17.812,0.010
6959.961,16.991,0.017,18.147,0.038,18.699,0.058,18.718,0.049,17.814,0.012
6967.007,17.015,0.031,18.190,0.068,18.665,0.102,18.731,0.088,17.820,0.022
6972.818,17.017,0.015,18.122,0.032,18.633,0.048,18.714,0.042,17.831,0.011
6986.814,17.016,0.015,18.151,0.032,18.673,0.049,18.700,0.041,17.819,0.011
6993.812,17.039,0.021,18.185,0.046,18.647,0.068,18.708,0.059,17.822,0.015
7007.815,17.074,0.017,18.172,0.035,18.523,0.049,18.744,0.046,17.823,0.011
7015.807,17.070,0.017,18.166,0.037,18.776,0.058,18.706,0.047,17.818,0.012
7202.073,17.233,0.015,18.283,0.030,18.674,0.043,18.816,0.039,17.798,0.009
7222.073,17.232,0.009,18.242,0.019,18.639,0.027,18.828,0.025,17.816,0.006
7229.202,17.246,0.009,18.261,0.019,18.696,0.028,18.830,0.025,17.819,0.006
7238.017,17.210,0.025,18.298,0.052,18.613,0.071,18.822,0.066,17.817,0.016
7250.028,17.218,0.009,18.254,0.019,18.617,0.027,18.960,0.026,17.818,0.006
7256.990,17.237,0.009,18.251,0.019,18.583,0.027,18.867,0.025,17.806,0.006
7265.899,17.230,0.019,18.237,0.039,18.653,0.056,18.834,0.051,17.819,0.012
7272.021,17.231,0.009,18.270,0.018,18.580,0.025,18.886,0.024,17.798,0.006
7278.922,17.226,0.009,18.231,0.018,18.565,0.026,18.965,0.026,17.799,0.006
