  2085.89230  18.051   0.014
  2085.89738  18.053   0.015
  2091.89517  18.062   0.010
  2091.90025  18.079   0.011
  2103.81800  18.061   0.010
  2103.82308  18.061   0.009
  2123.74716  18.082   0.016
  2123.75220  18.096   0.015
  2140.73322  18.151   0.015
  2140.73827  18.079   0.013
  2162.68405  18.055   0.014
  2162.68911  18.096   0.016
  2167.67552  18.047   0.013
  2167.68058  18.084   0.014
  2173.65979  18.106   0.013
  2173.66486  18.076   0.012
  2193.61120  18.061   0.012
  2193.61625  18.043   0.012
  2201.59564  18.036   0.013
  2201.60104  18.084   0.016
  2225.57721  18.022   0.012
  2225.58227  18.026   0.012
  2227.62041  18.075   0.013
  2227.62732  18.046   0.012
  2243.57198  18.062   0.017
  2243.57704  18.049   0.018
  2252.52672  18.050   0.014
  2252.53179  18.085   0.013
  2462.88426  17.975   0.014
  2462.88935  18.030   0.015
  2606.54850  18.055   0.016
  2606.55424  18.050   0.016
  2608.53499  18.132   0.019
  2611.52018  18.036   0.017
  2621.52516  18.048   0.024
  2621.53091  17.997   0.018
  2763.90826  18.286   0.016
  2763.91401  18.271   0.014
  2770.90016  18.294   0.019
  2770.90591  18.303   0.017
  2784.92505  18.346   0.013
  2784.93082  18.352   0.014
  2791.91326  18.364   0.019
  2791.91901  18.346   0.019
  2797.87292  18.374   0.012
  2797.87869  18.348   0.013
  2812.90268  18.361   0.016
  2812.90843  18.283   0.016
  2814.90498  18.345   0.017
  2814.91073  18.326   0.016
  2816.90496  18.337   0.015
  2816.91071  18.386   0.016
  2818.89325  18.318   0.013
  2818.89900  18.351   0.013
  2818.90540  18.340   0.014
  2818.91116  18.332   0.015
  2819.90057  18.326   0.013
  2819.90633  18.352   0.013
  2830.82122  18.311   0.014
  2830.82698  18.330   0.012
  2831.83546  18.301   0.017
  2831.84123  18.283   0.016
  2832.83214  18.303   0.016
  2832.83789  18.317   0.016
  2835.86037  18.297   0.019
  2835.86611  18.286   0.017
  2841.83674  18.319   0.013
  2841.84248  18.304   0.013
  2844.82254  18.318   0.014
  2844.82828  18.315   0.014
  2850.78178  18.295   0.014
  2850.78753  18.314   0.014
  2853.81480  18.332   0.010
  2853.82057  18.360   0.009
  2857.80184  18.308   0.016
  2857.80761  18.313   0.020
  2858.79632  18.322   0.013
  2858.80206  18.315   0.013
  2858.81061  18.334   0.013
  2858.81636  18.346   0.013
  2868.73276  18.304   0.016
  2868.73853  18.302   0.016
  2869.73202  18.307   0.016
  2869.73778  18.301   0.015
  2870.73433  18.275   0.015
  2870.74580  18.305   0.015
  2870.75157  18.293   0.014
  2871.74531  18.281   0.013
  2871.75758  18.286   0.013
  2871.76334  18.274   0.012
  2876.72032  18.291   0.015
  2876.72608  18.288   0.015
  2883.72628  18.260   0.013
  2883.73202  18.254   0.013
  2885.81655  18.242   0.013
  2885.82224  18.231   0.014
  2886.66617  18.268   0.018
  2886.67186  18.272   0.016
  2888.71877  18.241   0.014
  2888.72446  18.221   0.014
  2895.70702  18.226   0.015
