MJD,mA,e_mA,mB,e_mB
2003.573,17.373,0.001,18.437,0.015
2337.297,17.479,0.008,18.545,0.030
2344.290,17.476,0.003,18.587,0.039
2347.282,17.484,0.005,18.593,0.012
2756.161,17.484,0.000,18.760,0.009
2780.156,17.517,0.000,18.699,0.014
3020.494,17.544,0.011,18.755,0.026
3026.379,17.551,0.003,18.795,0.007
3044.349,17.561,0.002,18.785,0.014
3048.407,17.536,0.005,18.793,0.009
3054.404,17.510,0.004,18.835,0.009
3057.351,17.527,0.002,18.817,0.018
3061.377,17.548,0.006,18.854,0.013
3062.368,17.525,0.003,18.819,0.009
3065.376,17.535,0.002,18.822,0.013
3104.248,17.581,0.008,18.696,0.017
3112.184,17.586,0.001,18.784,0.005
3129.177,17.589,0.006,18.816,0.011
3136.171,17.557,0.005,18.826,0.009
3145.193,17.567,0.004,18.791,0.009
3342.562,17.697,0.005,18.935,0.010
3343.483,17.706,0.004,18.937,0.012
3409.334,17.730,0.003,18.958,0.007
3415.340,17.715,0.003,18.919,0.012
3435.315,17.740,0.004,18.970,0.006
3474.226,17.725,0.006,18.948,0.007
3700.518,17.828,0.014,18.977,0.015
3702.474,17.811,0.003,19.058,0.019
3705.527,17.826,0.002,19.065,0.002
3827.286,17.861,0.002,19.138,0.005
3836.293,18.000,0.017,18.946,0.036
3838.267,17.922,0.006,19.077,0.024
3842.203,17.917,0.003,19.099,0.007
3864.178,17.940,0.003,19.126,0.011
3866.181,18.018,0.019,18.911,0.043
3869.206,17.972,0.009,19.171,0.012
3872.164,17.961,0.004,19.017,0.011
4924.026,17.528,0.004,18.788,0.013
4932.974,17.529,0.004,18.784,0.015
4934.961,17.541,0.004,18.805,0.015
4937.907,17.523,0.004,18.803,0.015
4939.900,17.518,0.004,18.832,0.015
5236.041,17.761,0.003,19.012,0.007
5645.902,17.392,0.004,18.690,0.015
5659.909,17.388,0.007,18.750,0.025
5950.093,17.306,0.004,18.648,0.015
6034.908,17.313,0.004,18.615,0.015
6361.911,17.391,0.004,18.730,0.015
6621.097,17.498,0.005,18.822,0.018
6651.037,17.505,0.005,18.740,0.018
6696.007,17.510,0.005,18.868,0.018
6728.053,17.543,0.005,18.859,0.018
6742.930,17.548,0.005,18.896,0.018
6770.861,17.544,0.005,18.886,0.018
6785.896,17.556,0.005,18.847,0.018
6940.226,17.596,0.005,18.866,0.018
6971.162,17.622,0.005,18.819,0.018
6986.212,17.590,0.005,18.922,0.018
7014.242,17.601,0.005,18.886,0.018
7044.110,17.613,0.005,18.934,0.018
7118.907,17.625,0.005,18.941,0.018
7164.886,17.607,0.005,18.933,0.018
7180.920,17.601,0.005,18.942,0.018
7334.269,17.498,0.005,18.858,0.018
7394.075,17.424,0.005,18.829,0.018
7454.018,17.383,0.005,18.748,0.018
