MJD,mA,e_mA,mB,e_mB,mC,e_mC,mD,e_mD,mbeta,e_mbeta
7648.902,17.431,0.021,18.543,0.032,19.464,0.092,19.176,0.048,18.668,0.021
7653.904,17.418,0.007,18.515,0.010,19.548,0.032,19.215,0.016,18.697,0.007
7661.897,17.464,0.007,18.503,0.011,19.580,0.034,19.210,0.017,18.692,0.007
7681.838,17.541,0.007,18.541,0.011,19.561,0.032,19.229,0.017,18.691,0.007
7690.847,17.533,0.008,18.535,0.012,19.766,0.040,19.273,0.019,18.691,0.008
7709.827,17.529,0.007,18.506,0.010,19.708,0.034,19.219,0.016,18.700,0.007
7722.804,17.526,0.010,18.533,0.015,19.895,0.053,19.171,0.023,18.690,0.010
7728.817,17.565,0.011,18.493,0.016,19.758,0.054,19.154,0.024,18.698,0.011
7735.808,17.551,0.016,18.487,0.023,19.720,0.078,19.145,0.036,18.696,0.016
7945.111,17.553,0.021,18.327,0.027,19.597,0.094,18.835,0.039,18.708,0.020
7959.084,17.521,0.010,18.345,0.013,19.571,0.045,19.070,0.021,18.697,0.010
7965.051,17.530,0.008,18.366,0.011,19.615,0.036,19.017,0.016,18.651,0.008
7971.969,17.568,0.033,18.386,0.044,19.676,0.154,18.853,0.063,18.683,0.032
7978.977,17.559,0.009,18.370,0.011,19.581,0.038,18.968,0.017,18.698,0.008
7995.001,17.541,0.009,18.350,0.012,19.637,0.042,19.028,0.019,18.693,0.009
7999.891,17.558,0.025,18.362,0.033,19.597,0.112,18.885,0.048,18.680,0.024
8006.917,17.505,0.009,18.346,0.012,19.624,0.042,18.983,0.019,18.682,0.009
8013.917,17.492,0.009,18.321,0.012,19.551,0.040,18.966,0.018,18.697,0.009
8034.877,17.491,0.009,18.293,0.012,19.558,0.042,19.061,0.020,18.703,0.009
8043.876,17.516,0.008,18.333,0.011,19.577,0.037,18.970,0.017,18.697,0.008
8055.810,17.526,0.019,18.337,0.025,19.632,0.087,18.960,0.038,18.670,0.019
8069.847,17.556,0.009,18.358,0.012,19.690,0.042,18.964,0.018,18.679,0.009
8115.876,17.648,0.021,18.366,0.026,19.801,0.097,18.896,0.038,18.702,0.019
8303.072,17.600,0.034,18.402,0.046,19.559,0.148,18.711,0.060,18.707,0.033
8307.066,17.625,0.010,18.395,0.013,19.650,0.044,18.702,0.017,18.699,0.009
8311.045,17.650,0.023,18.443,0.030,19.717,0.103,18.646,0.038,18.683,0.021
8315.027,17.640,0.011,18.415,0.014,19.728,0.049,18.690,0.018,18.692,0.010
8319.020,17.652,0.019,18.413,0.025,19.730,0.088,18.664,0.032,18.665,0.018
8327.045,17.651,0.037,18.352,0.047,19.620,0.161,18.716,0.063,18.707,0.035
8330.997,17.665,0.030,18.401,0.038,19.707,0.132,18.668,0.049,18.672,0.027
8336.032,17.634,0.012,18.413,0.016,19.600,0.051,18.668,0.020,18.683,0.011
8338.967,17.618,0.011,18.436,0.015,19.699,0.050,18.648,0.018,18.677,0.010
