MJD,mA,e_mA,mB,e_mB,mC,e_mC,mD,e_mD,mbeta,e_mbeta
7977.948,17.162,0.019,17.907,0.022,19.085,0.046,18.370,0.028,17.716,0.019
7984.969,17.134,0.014,17.960,0.017,19.013,0.034,18.346,0.021,17.697,0.014
7987.913,17.146,0.013,17.946,0.016,19.059,0.031,18.360,0.019,17.715,0.013
7991.890,17.174,0.017,17.976,0.020,19.038,0.039,18.375,0.024,17.709,0.017
8005.862,17.185,0.018,17.930,0.021,19.140,0.043,18.332,0.025,17.729,0.017
8006.849,17.171,0.017,17.918,0.020,19.117,0.041,18.358,0.025,17.716,0.017
8008.862,17.172,0.016,17.956,0.019,19.077,0.039,18.371,0.023,17.717,0.016
8010.867,17.146,0.017,17.927,0.020,19.112,0.041,18.342,0.024,17.697,0.017
8020.784,17.136,0.015,17.933,0.018,19.031,0.036,18.384,0.023,17.722,0.015
8034.739,17.151,0.016,17.950,0.019,19.036,0.037,18.383,0.023,17.719,0.015
8036.729,17.159,0.015,17.970,0.018,19.014,0.034,18.378,0.021,17.709,0.014
8039.707,17.164,0.014,17.978,0.017,19.134,0.035,18.365,0.021,17.727,0.014
8041.716,17.159,0.014,17.951,0.016,19.071,0.033,18.358,0.020,17.721,0.013
8058.714,17.197,0.051,17.909,0.059,19.033,0.118,18.357,0.073,17.726,0.050
8063.702,17.188,0.018,17.975,0.022,19.174,0.045,18.376,0.026,17.720,0.018
8068.637,17.199,0.016,18.005,0.020,19.186,0.040,18.358,0.023,17.735,0.016
8076.642,17.215,0.016,17.997,0.019,19.162,0.038,18.373,0.022,17.736,0.015
8303.938,17.205,0.012,17.924,0.014,19.021,0.027,18.091,0.015,17.691,0.012
8305.928,17.191,0.009,17.929,0.011,19.023,0.021,18.097,0.012,17.625,0.009
8326.977,17.216,0.023,17.924,0.026,19.043,0.052,18.068,0.028,17.683,0.022
8346.890,17.194,0.008,17.902,0.010,18.963,0.019,18.033,0.010,17.643,0.008
8369.843,17.168,0.017,17.931,0.020,18.979,0.039,17.944,0.021,17.648,0.017
8372.791,17.220,0.010,17.931,0.011,19.011,0.022,18.000,0.012,17.692,0.009
8376.794,17.267,0.010,17.937,0.011,19.084,0.022,18.021,0.011,17.749,0.009
8722.843,17.419,0.014,17.974,0.015,19.137,0.031,17.812,0.014,17.692,0.012
