57836.39705 -13.02131 0.00361 -12.41105 0.00661 -12.35837 0.00202 -12.05921 0.00720
57838.39368 -13.02542 0.00376 -12.40846 0.00626 -12.34542 0.00337 -12.07784 0.00956
57839.39407 -13.02187 0.00227 -12.39921 0.00583 -12.34549 0.00158 -12.07212 0.00505
57841.40751 -13.03653 0.00548 -12.40417 0.01482 -12.34317 0.00458 -12.06062 0.01105
57842.38473 -13.01818 0.00205 -12.42828 0.00350 -12.34678 0.00331 -12.06272 0.00751
57843.40194 -13.01772 0.00406 -12.40431 0.00598 -12.34294 0.00290 -12.05375 0.00358
57844.39725 -13.02946 0.00345 -12.39586 0.00315 -12.33537 0.00383 -12.05719 0.00409
57845.37823 -13.02539 0.00393 -12.40263 0.00728 -12.33692 0.00314 -12.06116 0.00381
57847.39945 -13.03004 0.00185 -12.39799 0.00360 -12.33542 0.00289 -12.05933 0.00352
57849.38262 -13.01441 0.00170 -12.40222 0.00286 -12.33542 0.00253 -12.06081 0.00315
57851.36913 -13.01427 0.00393 -12.39150 0.00661 -12.34163 0.00419 -12.05821 0.00633
57852.35403 -13.02368 0.00978 -12.38281 0.01491 -12.34917 0.00635 -12.07037 0.01197
57864.35634 -13.02680 0.00190 -12.38481 0.00279 -12.32024 0.00424 -12.06073 0.00347
57865.41664 -13.02930 0.00198 -12.39087 0.00311 -12.32435 0.00354 -12.06250 0.00400
57866.37494 -13.03798 0.00309 -12.39171 0.00283 -12.32373 0.00420 -12.05544 0.00346
57867.40160 -13.04172 0.01036 -12.38897 0.01807 -12.33106 0.00866 -12.08169 0.01324
57872.38773 -13.01693 0.00171 -12.37486 0.00467 -12.32166 0.00256 -12.05216 0.00394
57873.38392 -13.01986 0.00185 -12.37222 0.00362 -12.33335 0.00289 -12.05392 0.00354
57876.35200 -13.02975 0.00307 -12.37170 0.00315 -12.33656 0.00373 -12.03383 0.00409
57877.38787 -13.02554 0.00200 -12.36505 0.00389 -12.34808 0.00278 -12.05417 0.00341
57878.37916 -13.01679 0.00175 -12.36990 0.00419 -12.34437 0.00274 -12.04103 0.00452
57888.39859 -13.00512 0.01050 -12.36651 0.01141 -12.36283 0.00564 -12.06153 0.00843
57889.42444 -12.99994 0.00823 -12.37900 0.00829 -12.34376 0.00588 -12.02522 0.00775
57890.37496 -13.01342 0.01036 -12.35496 0.01807 -12.35299 0.00866 -12.03979 0.01324
57893.38055 -13.01555 0.00508 -12.34036 0.00859 -12.33952 0.00451 -12.04447 0.00478
57894.31157 -13.00243 0.00196 -12.36917 0.00298 -12.34064 0.00304 -12.02812 0.00603
57895.32442 -12.99719 0.00207 -12.35540 0.01009 -12.34769 0.00323 -12.03880 0.00554
57903.43419 -13.01390 0.00231 -12.33629 0.00434 -12.35368 0.00417 -12.02214 0.00667
57904.41624 -13.03203 0.00540 -12.32870 0.00357 -12.34756 0.00352 -12.02622 0.00916
57905.39897 -13.01262 0.00629 -12.36465 0.01168 -12.35000 0.00492 -12.01711 0.00417
57906.40620 -13.03103 0.00429 -12.33727 0.00769 -12.34572 0.00657 -12.01687 0.00423
57907.41122 -13.01629 0.00261 -12.33474 0.00830 -12.33931 0.00325 -12.02931 0.00409
57908.35122 -13.01845 0.00750 -12.35525 0.01115 -12.33921 0.00329 -12.01574 0.01641
57911.24338 -13.00038 0.01036 -12.40404 0.01807 -12.32142 0.01193 -11.99294 0.01587
57913.21304 -13.01777 0.01165 -12.39537 0.02288 -12.31259 0.00978 -11.99599 0.02120
57915.23090 -13.03028 0.00298 -12.36740 0.00593 -12.32410 0.00530 -12.02387 0.00859
57916.38972 -13.03479 0.00345 -12.35360 0.00909 -12.33040 0.00628 -12.00155 0.00837
57917.34287 -13.01393 0.00936 -12.40288 0.01134 -12.31115 0.00499 -12.02527 0.00782
57923.34338 -13.03430 0.00682 -12.38210 0.00362 -12.30177 0.00441 -12.02394 0.00437
57924.39686 -13.04334 0.00178 -12.36185 0.00404 -12.29496 0.00304 -12.01436 0.00336
57933.20311 -13.04731 0.00203 -12.34089 0.01057 -12.28192 0.00325 -12.02889 0.01067
57934.34243 -13.03327 0.00234 -12.35965 0.02202 -12.28639 0.00378 -12.01973 0.00553
57937.15907 -13.03469 0.00915 -12.36137 0.01450 -12.28206 0.00439 -12.02434 0.00585
57944.28624 -13.02706 0.00577 -12.35281 0.00914 -12.26584 0.00570 -12.03935 0.00693
57945.28114 -13.02847 0.00470 -12.34437 0.00462 -12.26835 0.00647 -12.03129 0.00605
57946.38928 -13.02437 0.00712 -12.33790 0.01871 -12.25808 0.00661 -12.03443 0.00803
57948.37576 -13.03561 0.00589 -12.31772 0.01846 -12.26809 0.00506 -12.02308 0.00623
57949.37557 -13.04689 0.01039 -12.26338 0.02029 -12.28434 0.01992 -12.01010 0.02537
57951.34162 -13.01289 0.01036 -12.33310 0.01807 -12.27207 0.00928 -12.02406 0.01324
57952.38005 -13.01467 0.00395 -12.31599 0.01203 -12.26269 0.00709 -12.01434 0.01027
57953.31120 -13.00144 0.00284 -12.32610 0.00460 -12.25821 0.00424 -12.01982 0.00439
57954.33640 -12.99662 0.00265 -12.31879 0.00942 -12.26402 0.00265 -12.02082 0.00345
57955.25675 -12.98762 0.00170 -12.32335 0.00233 -12.26532 0.00240 -12.01496 0.00450
57956.27200 -12.99757 0.01036 -12.31445 0.01807 -12.26176 0.00866 -12.03217 0.01324
57958.11833 -13.00111 0.00354 -12.31778 0.00337 -12.26685 0.00436 -12.01331 0.00882
57959.13651 -12.99067 0.00716 -12.33281 0.01079 -12.25915 0.00291 -12.02800 0.00343
57960.19900 -12.98239 0.00163 -12.32058 0.00385 -12.25411 0.00245 -12.03151 0.00281
57961.12579 -12.98877 0.00253 -12.31087 0.00340 -12.25804 0.00269 -12.01916 0.00316
57962.12275 -12.98447 0.01043 -12.33646 0.00305 -12.26211 0.00318 -12.03563 0.00802
57964.24527 -12.97324 0.00282 -12.32240 0.00650 -12.24134 0.00338 -12.02303 0.00327
57970.23655 -12.95952 0.00492 -12.31727 0.00589 -12.24371 0.00538 -12.01154 0.00654
