  2085.89230  17.028   0.007
  2085.89738  17.013   0.008
  2091.89517  17.024   0.005
  2091.90025  17.029   0.006
  2103.81800  17.052   0.005
  2103.82308  17.057   0.005
  2123.74716  17.058   0.008
  2123.75220  17.046   0.008
  2140.73322  17.035   0.007
  2140.73827  17.055   0.007
  2162.68405  17.025   0.007
  2162.68911  17.029   0.008
  2167.67552  17.025   0.007
  2167.68058  16.994   0.007
  2173.65979  17.040   0.007
  2173.66486  17.030   0.006
  2193.61120  17.023   0.007
  2193.61625  17.021   0.007
  2201.59564  16.999   0.007
  2201.60104  16.985   0.008
  2225.57721  16.997   0.006
  2225.58227  16.995   0.006
  2227.62041  16.994   0.007
  2227.62732  16.986   0.007
  2243.57198  17.006   0.008
  2243.57704  17.024   0.009
  2252.52672  17.016   0.007
  2252.53179  17.009   0.007
  2462.88426  16.767   0.006
  2462.88935  16.789   0.007
  2606.54850  16.712   0.006
  2606.55424  16.701   0.006
  2608.53499  16.702   0.007
  2611.52018  16.713   0.007
  2621.52516  16.711   0.009
  2621.53091  16.715   0.008
  2763.90826  17.146   0.008
  2763.91401  17.150   0.007
  2770.90016  17.154   0.009
  2770.90591  17.173   0.008
  2784.92505  17.197   0.007
  2784.93082  17.221   0.007
  2791.91326  17.195   0.009
  2791.91901  17.224   0.009
  2797.87292  17.223   0.006
  2797.87869  17.237   0.006
  2812.90268  17.225   0.008
  2812.90843  17.247   0.008
  2814.90498  17.253   0.008
  2814.91073  17.249   0.008
  2816.90496  17.231   0.008
  2816.91071  17.248   0.008
  2818.89325  17.221   0.007
  2818.89900  17.231   0.007
  2818.90540  17.251   0.007
  2818.91116  17.250   0.007
  2819.90057  17.236   0.007
  2819.90633  17.226   0.007
  2830.82122  17.225   0.007
  2830.82698  17.217   0.005
  2831.83546  17.212   0.008
  2831.84123  17.226   0.008
  2832.83214  17.218   0.008
  2832.83789  17.214   0.008
  2835.86037  17.239   0.009
  2835.86611  17.240   0.008
  2841.83674  17.227   0.006
  2841.84248  17.248   0.006
  2844.82254  17.221   0.007
  2844.82828  17.229   0.007
  2850.78178  17.235   0.007
  2850.78753  17.240   0.007
