55476.13705 -12.14797 0.00351 -10.97454 0.00652 -10.77615 0.00762
55485.15865 -12.12599 0.00439 -10.94903 0.00834 -10.77044 0.00966
55488.13749 -12.11898 0.00437 -10.93874 0.00876 -10.77363 0.01008
55492.12020 -12.10575 0.00605 -10.93759 0.01225 -10.75355 0.01442
55495.12200 -12.10500 0.00496 -10.93096 0.00972 -10.75995 0.01123
55503.09229 -12.09683 0.00311 -10.91105 0.00517 -10.72343 0.00796
55506.07093 -12.10205 0.00310 -10.92306 0.00734 -10.72371 0.00644
55513.04402 -12.07829 0.00564 -10.93881 0.01508 -10.74132 0.01310
55522.01965 -12.08082 0.00635 -10.88540 0.01270 -10.69581 0.01496
55655.40458 -11.97804 0.00358 -10.83587 0.00634 -10.60172 0.00766
55656.40975 -11.96756 0.00378 -10.82433 0.00681 -10.60758 0.00806
55662.38833 -11.96054 0.00784 -10.80840 0.00819 -10.62758 0.01784
55667.40807 -11.96955 0.00349 -10.79972 0.00664 -10.60798 0.00770
55674.39680 -11.95590 0.00484 -10.77318 0.00948 -10.59384 0.01439
55678.37934 -11.95524 0.00400 -10.76856 0.00692 -10.61178 0.00780
55682.39598 -11.95239 0.00384 -10.77383 0.00714 -10.59465 0.00816
55686.34652 -11.95174 0.00383 -10.75363 0.00761 -10.59535 0.00864
55694.35115 -11.93586 0.00351 -10.76583 0.00668 -10.58844 0.00768
55705.39409 -11.91170 0.00714 -10.79317 0.01059 -10.60501 0.01255
55712.36369 -11.90035 0.00324 -10.81874 0.00568 -10.55767 0.00711
55716.39733 -11.90348 0.00762 -10.84080 0.00644 -10.57769 0.00795
55723.27572 -11.90325 0.00418 -10.86359 0.00819 -10.56892 0.00940
55725.27082 -11.88883 0.00539 -10.85056 0.00949 -10.54349 0.01234
55739.22170 -11.89532 0.00390 -10.90245 0.00709 -10.53206 0.01530
55744.23663 -11.91065 0.00548 -10.91007 0.00593 -10.53252 0.01278
55760.26227 -11.94782 0.00737 -10.89967 0.01334 -10.51164 0.02851
55762.21379 -11.96106 0.00495 -10.88319 0.00928 -10.55316 0.01219
55766.32071 -11.97055 0.00344 -10.91298 0.00616 -10.54493 0.00867
55767.31683 -11.97946 0.00396 -10.91770 0.00751 -10.56509 0.02226
55770.23884 -11.98839 0.00351 -10.89399 0.00623 -10.54197 0.00813
55775.12112 -11.98966 0.01015 -10.90858 0.01551 -10.56249 0.01304
55776.09502 -12.00031 0.00430 -10.92045 0.00692 -10.56540 0.01551
55779.10720 -12.00784 0.00358 -10.91858 0.00626 -10.56381 0.00824
55783.21230 -12.00765 0.00545 -10.89733 0.00970 -10.55611 0.01307
55794.18268 -12.01308 0.00336 -10.89470 0.00596 -10.59820 0.00930
55801.14648 -12.00381 0.00365 -10.87773 0.00690 -10.62997 0.01165
55804.06629 -12.00060 0.00400 -10.85819 0.00721 -10.62367 0.00864
55807.03654 -12.00768 0.00338 -10.84953 0.00598 -10.60208 0.00723
55815.05189 -12.00236 0.00599 -10.80919 0.01209 -10.59982 0.02392
55818.13646 -11.99343 0.00500 -10.80105 0.00907 -10.60616 0.01072
55820.15602 -11.98369 0.00411 -10.80432 0.00805 -10.59544 0.02030
55824.20041 -11.98905 0.00544 -10.79816 0.00641 -10.61429 0.00739
55827.05720 -11.99133 0.00693 -10.79880 0.00749 -10.60083 0.01159
55831.03665 -11.96728 0.00384 -10.77483 0.00604 -10.58379 0.00684
55835.16849 -11.95324 0.00843 -10.77742 0.01504 -10.62288 0.02155
55839.10990 -11.95129 0.00551 -10.75967 0.01074 -10.59552 0.01289
55842.02138 -11.94944 0.00604 -10.75947 0.01224 -10.60353 0.01402
55850.15592 -11.92529 0.00478 -10.75248 0.01180 -10.58782 0.01061
55854.02946 -11.91197 0.00809 -10.73548 0.00833 -10.59728 0.00926
55857.01753 -11.89385 0.00793 -10.73597 0.00698 -10.60934 0.01210
55865.00950 -11.89464 0.00435 -10.72355 0.01081 -10.55783 0.00975
55869.03511 -11.88566 0.01241 -10.72623 0.01070 -10.55765 0.01239
55873.07443 -11.86866 0.00826 -10.72332 0.01636 -10.52313 0.01954
55882.04259 -11.86340 0.00501 -10.77606 0.01285 -10.55281 0.01122
55885.04278 -11.85296 0.01359 -10.81008 0.00989 -10.56074 0.01229
55887.05666 -11.83977 0.00717 -10.77580 0.01040 -10.53938 0.01188
55896.03190 -11.81841 0.00629 -10.77314 0.01007 -10.53799 0.01342
55897.02791 -11.82740 0.00693 -10.81841 0.01205 -10.51770 0.01564
56011.39733 -11.95263 0.00331 -10.79731 0.00632 -10.57825 0.00753
56015.40896 -11.94522 0.00581 -10.76203 0.01112 -10.57532 0.01295
56017.39385 -11.93703 0.00373 -10.78439 0.00686 -10.57805 0.00803
56018.40441 -11.94002 0.00429 -10.80255 0.00796 -10.59524 0.00940
56023.40338 -11.91067 0.00713 -10.78138 0.01382 -10.55206 0.01691
56028.39935 -11.90401 0.00503 -10.77388 0.00956 -10.55369 0.01155
56029.40791 -11.90996 0.00620 -10.79184 0.01180 -10.57360 0.01425
56033.38597 -11.90647 0.00441 -10.79808 0.00833 -10.57632 0.01005
56038.40647 -11.89717 0.00843 -10.79497 0.01504 -10.55926 0.02155
56039.38447 -11.90091 0.01061 -10.80471 0.01977 -10.56945 0.02412
56047.36861 -11.89080 0.00544 -10.80146 0.00778 -10.54076 0.00967
56050.36334 -11.89480 0.00411 -10.80477 0.00756 -10.52492 0.01008
56053.39244 -11.88712 0.00750 -10.78646 0.01437 -10.55144 0.01770
