MJD,mA,e_mA,mB,e_mB
5608.923,16.418,0.014,17.051,0.018
5609.900,16.431,0.014,17.002,0.018
5610.864,16.430,0.014,17.015,0.018
5611.908,16.408,0.014,17.032,0.018
5614.865,16.427,0.014,17.002,0.018
5615.952,16.437,0.014,17.013,0.018
5616.866,16.430,0.014,17.006,0.018
5618.865,16.432,0.014,17.011,0.018
5619.884,16.437,0.014,17.007,0.018
5620.868,16.421,0.014,17.014,0.018
5621.868,16.424,0.014,17.012,0.018
5622.860,16.437,0.014,17.018,0.018
5643.907,16.434,0.014,17.018,0.018
5644.872,16.445,0.014,17.029,0.018
5645.869,16.421,0.014,17.017,0.018
5646.874,16.432,0.014,17.028,0.018
5648.877,16.435,0.014,17.011,0.018
5649.886,16.423,0.014,17.018,0.018
5650.875,16.436,0.014,17.000,0.018
5651.898,16.431,0.014,17.022,0.018
5652.877,16.430,0.014,17.003,0.018
5654.881,16.428,0.014,17.004,0.018
5655.965,16.419,0.014,17.047,0.018
5656.873,16.412,0.014,17.022,0.018
5657.903,16.417,0.014,17.029,0.018
5659.926,16.430,0.014,17.031,0.018
5660.873,16.437,0.014,17.023,0.018
5661.875,16.428,0.014,17.015,0.018
5662.889,16.409,0.014,17.042,0.018
5663.879,16.426,0.014,17.029,0.018
5688.895,16.424,0.014,17.031,0.018
5689.890,16.416,0.014,17.063,0.018
5690.937,16.422,0.014,17.024,0.018
5691.954,16.431,0.014,17.015,0.018
5692.897,16.418,0.014,17.023,0.018
5693.916,16.424,0.014,17.026,0.018
5695.911,16.419,0.014,16.998,0.018
5697.955,16.416,0.014,17.030,0.018
5698.937,16.435,0.014,17.001,0.018
5700.912,16.432,0.014,16.992,0.018
5702.932,16.417,0.014,17.024,0.018
5704.903,16.414,0.014,17.014,0.018
5705.990,16.415,0.014,17.008,0.018
5709.906,16.430,0.014,17.009,0.018
5711.903,16.431,0.014,16.997,0.018
5712.951,16.423,0.014,17.019,0.018
5713.903,16.413,0.014,17.001,0.018
5959.002,16.384,0.011,16.958,0.014
5965.086,16.415,0.011,16.941,0.014
5988.874,16.387,0.011,16.948,0.014
5990.889,16.398,0.011,16.955,0.014
5992.871,16.383,0.011,16.948,0.014
5998.136,16.401,0.011,16.940,0.014
5998.979,16.401,0.011,16.956,0.014
6000.906,16.406,0.011,16.953,0.014
6003.903,16.393,0.011,16.944,0.014
6004.933,16.392,0.011,16.949,0.014
6007.879,16.377,0.011,16.935,0.014
6009.879,16.389,0.011,16.951,0.014
6013.916,16.403,0.011,16.926,0.014
6014.871,16.396,0.011,16.927,0.014
6015.986,16.393,0.011,16.928,0.014
6017.874,16.390,0.011,16.922,0.014
6033.883,16.392,0.011,16.928,0.014
6034.884,16.392,0.011,16.936,0.014
6212.212,16.377,0.011,17.023,0.017
6213.160,16.365,0.011,16.995,0.017
6214.159,16.372,0.011,17.010,0.017
6221.169,16.389,0.011,16.987,0.017
6222.163,16.375,0.011,17.023,0.017
6225.205,16.385,0.011,16.996,0.017
6226.234,16.384,0.011,16.995,0.017
6227.124,16.384,0.011,17.034,0.017
6244.170,16.380,0.011,17.005,0.017
6245.111,16.374,0.011,16.975,0.017
6254.051,16.383,0.011,16.974,0.017
6255.046,16.391,0.011,16.982,0.017
6265.135,16.373,0.011,16.991,0.017
6266.022,16.391,0.011,16.967,0.017
6267.191,16.382,0.011,16.994,0.017
6269.164,16.387,0.011,16.979,0.017
6270.107,16.388,0.011,17.009,0.017
6275.073,16.384,0.011,16.973,0.017
6276.004,16.384,0.011,16.966,0.017
6277.035,16.386,0.011,16.979,0.017
6278.008,16.402,0.011,16.945,0.017
6279.003,16.372,0.011,16.989,0.017
6279.978,16.379,0.011,16.980,0.017
6282.182,16.371,0.011,16.952,0.017
6282.974,16.383,0.011,16.991,0.017
6284.069,16.374,0.011,16.962,0.017
6285.009,16.376,0.011,16.997,0.017
6287.077,16.372,0.011,16.958,0.017
6288.015,16.351,0.011,17.006,0.017
6289.025,16.368,0.011,16.985,0.017
6289.973,16.380,0.011,16.962,0.017
6291.043,16.384,0.011,16.964,0.017
6292.053,16.379,0.011,16.957,0.017
6292.972,16.373,0.011,16.995,0.017
6294.226,16.372,0.011,16.962,0.017
6295.126,16.388,0.011,16.958,0.017
6296.024,16.382,0.011,16.952,0.017
6296.967,16.372,0.011,16.970,0.017
6297.970,16.389,0.011,16.949,0.017
6299.014,16.374,0.011,16.968,0.017
6299.937,16.398,0.011,16.931,0.017
6300.936,16.389,0.011,16.945,0.017
6301.972,16.374,0.011,16.958,0.017
6303.008,16.373,0.011,16.967,0.017
6304.968,16.380,0.011,16.959,0.017
6308.055,16.370,0.011,16.974,0.017
6311.029,16.372,0.011,16.961,0.017
6317.014,16.352,0.011,16.926,0.017
6319.980,16.372,0.011,16.940,0.017
6322.898,16.373,0.011,16.947,0.017
6326.004,16.351,0.011,16.920,0.017
6330.198,16.374,0.011,16.921,0.017
6333.124,16.355,0.011,16.977,0.017
6343.894,16.374,0.011,16.952,0.017
6345.910,16.373,0.011,16.948,0.017
6347.941,16.357,0.011,16.975,0.017
6351.009,16.360,0.011,16.945,0.017
6360.874,16.364,0.011,16.966,0.017
6363.856,16.353,0.011,16.946,0.017
6374.005,16.355,0.011,16.956,0.017
6375.854,16.342,0.011,16.919,0.017
6379.980,16.343,0.011,16.971,0.017
6381.853,16.356,0.011,16.954,0.017
6383.858,16.355,0.011,16.964,0.017
6404.049,16.351,0.011,16.983,0.017
6407.882,16.348,0.011,16.979,0.017
6592.247,16.367,0.011,17.001,0.017
6598.190,16.371,0.011,17.011,0.017
6623.039,16.362,0.011,17.026,0.017
6630.267,16.370,0.011,17.002,0.017
6631.145,16.359,0.011,16.989,0.017
6643.187,16.361,0.011,17.018,0.017
6656.960,16.364,0.011,17.012,0.017
6671.013,16.388,0.011,17.007,0.017
6685.032,16.373,0.011,17.022,0.017
6691.941,16.389,0.011,16.981,0.017
6698.901,16.373,0.011,16.956,0.017
6712.888,16.382,0.011,16.977,0.017
6719.973,16.362,0.011,16.953,0.017
6727.978,16.392,0.011,16.956,0.017
6733.859,16.359,0.011,16.942,0.017
6742.882,16.397,0.011,17.002,0.017
6754.875,16.371,0.011,16.982,0.017
6761.859,16.378,0.011,16.962,0.017
6768.865,16.366,0.011,16.982,0.017
6776.876,16.377,0.011,16.988,0.017
6782.866,16.369,0.011,16.968,0.017
6789.930,16.405,0.011,16.979,0.017
6797.905,16.367,0.011,16.972,0.017
6803.886,16.378,0.011,16.985,0.017
6812.886,16.394,0.011,16.975,0.017
6946.167,16.371,0.011,16.910,0.017
6960.183,16.380,0.011,16.902,0.017
6968.227,16.366,0.011,16.936,0.017
6975.154,16.365,0.011,16.911,0.017
6995.121,16.371,0.011,16.931,0.017
7010.178,16.360,0.011,16.947,0.017
7016.053,16.359,0.011,16.976,0.017
7038.062,16.380,0.011,16.967,0.017
7044.100,16.356,0.011,17.003,0.017
7050.871,16.408,0.011,16.928,0.017
7064.976,16.372,0.011,16.988,0.017
7079.899,16.389,0.011,16.940,0.017
7092.876,16.365,0.011,16.921,0.017
7108.936,16.373,0.011,16.942,0.017
7113.860,16.389,0.011,16.939,0.017
7120.876,16.377,0.011,16.941,0.017
7127.879,16.351,0.011,16.922,0.017
7134.926,16.392,0.011,16.958,0.017
7141.868,16.372,0.011,16.945,0.017
7155.916,16.367,0.011,16.959,0.017
7163.889,16.366,0.011,16.961,0.017
7306.239,16.374,0.011,16.959,0.017
7332.170,16.387,0.011,16.982,0.017
7341.129,16.395,0.011,16.977,0.017
7347.198,16.393,0.011,16.990,0.017
7354.203,16.378,0.011,17.001,0.017
7374.010,16.377,0.011,17.005,0.017
7395.026,16.394,0.011,17.008,0.017
7409.138,16.423,0.011,17.018,0.017
7415.975,16.395,0.011,17.003,0.017
7431.087,16.411,0.011,17.011,0.017
7450.986,16.391,0.011,17.015,0.017
7457.880,16.374,0.011,17.020,0.017
7464.913,16.387,0.011,16.999,0.017
7478.889,16.403,0.011,17.011,0.017
7501.957,16.387,0.011,17.063,0.017
7514.924,16.392,0.011,17.060,0.017
