HJD,A,e_A,B,e_B,Filt
2453346.785,-0.76,0.01,0.40,0.01,B
2453354.785,-0.77,0.01,0.43,0.02,B
2453358.814,-0.77,0.01,0.39,0.01,B
2453384.704,-0.74,0.01,0.45,0.02,B
2453413.779,-0.77,0.01,0.29,0.02,B
2453439.751,-0.77,0.01,0.24,0.01,B
2453475.613,-0.84,0.01,0.27,0.01,B
2453492.581,-0.81,0.01,0.29,0.02,B
2453525.524,-0.86,0.01,0.28,0.01,B
2453551.520,-0.89,0.01,0.34,0.02,B
2453699.832,-0.96,0.01,0.22,0.01,B
2453708.816,-0.94,0.01,0.20,0.01,B
2453760.740,-0.89,0.01,0.17,0.01,B
2453770.751,-0.87,0.01,0.17,0.01,B
2453790.696,-0.89,0.01,0.12,0.01,B
2453797.653,-0.92,0.01,0.09,0.01,B
2453804.665,-0.94,0.01,0.06,0.01,B
2453821.608,-0.99,0.01,0.05,0.01,B
2453832.624,-0.98,0.01,-0.01,0.01,B
2453846.575,-0.99,0.01,-0.03,0.01,B
2453877.546,-1.03,0.01,-0.09,0.01,B
2453915.485,-1.02,0.01,-0.03,0.01,B
2454115.802,-1.29,0.01,0.29,0.01,B
2454122.788,-1.24,0.01,0.29,0.01,B
2454148.853,-1.24,0.01,0.30,0.01,B
2454155.812,-1.22,0.01,0.28,0.01,B
2454178.743,-1.10,0.01,0.34,0.01,B
2454210.658,-0.98,0.01,0.30,0.01,B
2454211.682,-0.96,0.01,0.34,0.01,B
2454240.472,-0.96,0.01,0.27,0.01,B
2454261.488,-0.94,0.01,0.21,0.01,B
2454297.467,-0.93,0.01,0.22,0.01,B
2454442.785,-0.95,0.01,0.23,0.01,B
2454464.824,-0.97,0.01,0.13,0.01,B
2454479.789,-0.99,0.01,0.11,0.01,B
2454534.735,-1.03,0.01,0.03,0.01,B
2454552.744,-0.98,0.01,0.03,0.02,B
2454559.686,-0.98,0.01,0.08,0.01,B
2454585.545,-0.97,0.01,0.10,0.01,B
2454591.517,-0.99,0.01,0.11,0.02,B
2454598.644,-0.98,0.01,0.11,0.01,B
2454647.513,-1.09,0.02,0.14,0.02,B
2454672.485,-1.14,0.02,0.20,0.02,B
2454790.802,-0.95,0.01,0.28,0.01,B
2454807.807,-0.94,0.01,0.23,0.01,B
2454821.770,-0.91,0.01,0.25,0.01,B
2454837.759,-0.93,0.01,0.24,0.01,B
2454850.699,-0.93,0.01,0.22,0.01,B
2454866.734,-0.94,0.01,0.22,0.01,B
2454878.692,-0.94,0.01,0.25,0.01,B
2454887.688,-0.92,0.01,0.24,0.01,B
2454922.645,-0.91,0.01,0.19,0.01,B
2454935.617,-0.90,0.01,0.16,0.01,B
2454949.563,-0.95,0.01,0.15,0.01,B
2454971.622,-0.94,0.01,-0.01,0.01,B
2455174.820,-1.11,0.01,-0.22,0.01,B
2455209.805,-1.25,0.01,-0.26,0.01,B
2455216.767,-1.29,0.01,-0.28,0.01,B
2455243.752,-1.28,0.01,-0.22,0.01,B
2455244.765,-1.28,0.01,-0.21,0.01,B
2455249.761,-1.26,0.01,-0.21,0.01,B
2455264.688,-1.33,0.01,-0.19,0.01,B
2455276.736,-1.39,0.01,-0.17,0.01,B
2455289.644,-1.46,0.01,-0.15,0.01,B
2455293.619,-1.45,0.01,-0.15,0.01,B
2455325.558,-1.44,0.01,-0.11,0.01,B
2455348.489,-1.42,0.01,-0.04,0.01,B
2455356.481,-1.42,0.01,-0.04,0.01,B
2455541.841,-1.19,0.01,-0.19,0.02,B
2455542.832,-1.18,0.01,-0.20,0.02,B
2455577.835,-1.19,0.02,-0.26,0.02,B
2455591.769,-1.25,0.01,-0.21,0.01,B
2455606.791,-1.26,0.01,-0.25,0.01,B
2455618.801,-1.22,0.01,-0.33,0.01,B
2455633.772,-1.26,0.01,-0.31,0.01,B
2455648.676,-1.28,0.01,-0.36,0.02,B
