  2085.89230  18.588   0.021
  2085.89738  18.538   0.022
  2091.89517  18.536   0.014
  2091.90025  18.569   0.015
  2103.81800  18.529   0.013
  2103.82308  18.479   0.012
  2123.74716  18.556   0.025
  2123.75220  18.511   0.022
  2140.73322  18.476   0.020
  2140.73827  18.547   0.019
  2162.68405  18.483   0.020
  2162.68911  18.529   0.023
  2167.67552  18.492   0.019
  2167.68058  18.488   0.020
  2173.65979  18.507   0.018
  2173.66486  18.541   0.018
  2193.61120  18.532   0.018
  2193.61625  18.528   0.018
  2201.59564  18.476   0.020
  2201.60104  18.562   0.025
  2225.57721  18.545   0.018
  2225.58227  18.533   0.018
  2227.62041  18.513   0.019
  2227.62732  18.588   0.020
  2243.57198  18.624   0.030
  2243.57704  18.545   0.029
  2252.52672  18.595   0.024
  2252.53179  18.561   0.020
  2462.88426  18.606   0.023
  2462.88935  18.559   0.023
  2606.54850  18.587   0.024
  2606.55424  18.604   0.023
  2608.53499  18.633   0.029
  2611.52018  18.624   0.028
  2621.53091  18.735   0.036
  2763.90826  18.696   0.022
  2763.91401  18.689   0.019
  2770.90016  18.743   0.027
  2770.90591  18.712   0.024
  2784.92505  18.713   0.017
  2784.93082  18.702   0.018
  2791.91326  18.695   0.025
  2791.91901  18.733   0.026
  2797.87292  18.731   0.016
  2797.87869  18.782   0.018
  2812.90268  18.707   0.021
  2812.90843  18.745   0.023
  2814.90498  18.736   0.022
  2814.91073  18.714   0.022
  2816.90496  18.717   0.020
  2816.91071  18.725   0.020
  2818.89325  18.716   0.017
  2818.89900  18.694   0.017
  2818.90540  18.731   0.018
  2818.91116  18.704   0.019
  2819.90057  18.733   0.017
  2819.90633  18.707   0.017
  2830.82122  18.663   0.019
  2830.82698  18.701   0.017
  2831.83546  18.755   0.025
  2831.84123  18.735   0.024
  2832.83214  18.729   0.023
  2832.83789  18.689   0.022
  2835.86037  18.731   0.028
  2835.86611  18.700   0.025
  2841.83674  18.680   0.017
  2841.84248  18.704   0.018
  2844.82254  18.691   0.018
  2844.82828  18.696   0.017
  2850.78178  18.709   0.019
  2850.78753  18.723   0.019
  2853.81480  18.702   0.013
  2853.82057  18.654   0.011
  2857.80184  18.725   0.022
  2857.80761  18.725   0.029
  2858.79632  18.726   0.017
  2858.80206  18.720   0.017
  2858.81061  18.695   0.016
  2858.81636  18.740   0.017
  2868.73276  18.701   0.021
  2868.73853  18.647   0.020
  2869.73202  18.686   0.022
  2869.73778  18.655   0.020
  2870.73433  18.667   0.019
  2870.74580  18.703   0.020
  2870.75157  18.643   0.018
  2871.74531  18.672   0.017
  2871.75758  18.646   0.017
  2871.76334  18.670   0.016
  2876.72032  18.685   0.021
  2876.72608  18.634   0.019
  2883.72628  18.631   0.017
  2883.73202  18.643   0.016
  2885.81655  18.629   0.017
  2885.82224  18.637   0.019
  2886.66617  18.664   0.025
  2886.67186  18.666   0.021
  2888.71877  18.632   0.018
  2888.72446  18.652   0.019
  2895.70702  18.600   0.020
  2895.71266  18.640   0.022
  2897.70040  18.643   0.027
  2897.70605  18.596   0.030
  2899.68918  18.621   0.015
  2899.69483  18.613   0.014
  2903.72259  18.572   0.012
  2903.72823  18.570   0.013
  2906.68022  18.590   0.017
  2906.68585  18.557   0.017
  2910.65413  18.609   0.021
  2910.65978  18.598   0.022
  2912.65920  18.578   0.018
  2912.66484  18.557   0.017
  2915.60958  18.622   0.021
  2915.61521  18.575   0.021
  2916.63263  18.573   0.019
  2916.63826  18.606   0.019
  2922.62928  18.599   0.037
  2923.63088  18.646   0.026
  2923.63652  18.533   0.024
  2925.61887  18.552   0.021
  2925.62452  18.609   0.026
  2927.63072  18.577   0.019
  2927.63635  18.593   0.021
  2929.63460  18.603   0.024
  2929.64024  18.555   0.021
  2930.61461  18.557   0.017
  2930.62024  18.585   0.018
  2931.61389  18.578   0.017
  2931.61952  18.568   0.017
  2932.61097  18.563   0.018
  2932.61660  18.580   0.018
  2933.60895  18.582   0.015
  2933.61457  18.587   0.015
  2939.56383  18.598   0.022
  2939.56948  18.642   0.023
  2941.55194  18.562   0.019
  2941.55758  18.565   0.017
  2945.55593  18.555   0.024
  2945.56157  18.593   0.024
  2949.54125  18.595   0.025
  2949.54688  18.593   0.027
  2953.54428  18.539   0.020
  2953.54989  18.563   0.022
  2956.56666  18.559   0.015
  2956.57232  18.565   0.014
  2956.57851  18.562   0.016
  2956.58415  18.567   0.017
  2958.56423  18.533   0.017
  2958.56985  18.528   0.016
  2965.52870  18.547   0.021
  2965.53435  18.543   0.020
  2973.52854  18.618   0.024
  2973.53415  18.585   0.023
  2989.53195  18.555   0.026
  2989.53756  18.549   0.024
  2995.53382  18.522   0.022
  2995.53945  18.507   0.019
  3126.91246  18.519   0.017
  3126.91810  18.565   0.020
  3131.90524  18.490   0.025
  3131.91087  18.515   0.023
  3132.89778  18.486   0.027
  3132.90341  18.478   0.025
  3144.92321  18.568   0.021
  3144.92883  18.476   0.023
  3150.91318  18.525   0.016
  3150.91881  18.525   0.015
  3162.90771  18.478   0.019
  3162.91336  18.498   0.018
  3168.93381  18.438   0.015
  3168.93943  18.463   0.016
  3174.91780  18.479   0.013
  3174.92341  18.507   0.013
  3180.90522  18.501   0.014
  3180.91087  18.475   0.014
  3185.89351  18.461   0.014
  3185.89913  18.480   0.014
  3191.88921  18.454   0.023
  3191.89485  18.507   0.026
  3195.86905  18.461   0.017
  3195.87468  18.460   0.017
  3202.84490  18.517   0.018
  3202.85052  18.500   0.021
  3210.81578  18.417   0.013
