MJD,mA,e_mA,mB,e_mB,mC,e_mC,mD,e_mD,mS,e_mS
3902.171,16.607,0.017,17.734,0.038,18.245,0.066,18.242,0.043,17.219,0.010
3905.133,16.602,0.008,17.726,0.019,18.153,0.031,18.201,0.021,17.214,0.005
3912.140,16.567,0.006,17.704,0.013,18.179,0.022,18.199,0.015,17.200,0.003
3920.105,16.582,0.005,17.729,0.011,18.162,0.018,18.204,0.012,17.209,0.003
3928.160,16.617,0.021,17.751,0.048,18.258,0.083,18.089,0.051,17.223,0.012
3934.121,16.556,0.007,17.721,0.015,18.161,0.026,18.141,0.017,17.206,0.004
3942.104,16.605,0.006,17.776,0.014,18.233,0.023,18.229,0.015,17.208,0.003
3983.122,16.678,0.033,17.757,0.075,18.150,0.123,18.167,0.081,17.199,0.019
3993.955,16.615,0.008,17.765,0.019,18.309,0.033,18.188,0.020,17.203,0.005
3998.099,16.621,0.008,17.782,0.019,18.297,0.034,18.192,0.021,17.203,0.005
4021.873,16.646,0.009,17.788,0.021,18.317,0.037,18.212,0.023,17.244,0.005
4028.902,16.661,0.013,17.808,0.029,18.333,0.051,18.182,0.031,17.239,0.007
4049.842,16.610,0.008,17.767,0.019,18.271,0.034,18.167,0.021,17.243,0.005
4056.844,16.603,0.009,17.749,0.020,18.286,0.036,18.183,0.022,17.244,0.005
4061.841,16.604,0.009,17.717,0.021,18.369,0.040,18.148,0.023,17.233,0.005
4083.843,16.559,0.011,17.719,0.025,18.226,0.044,18.185,0.028,17.231,0.006
4289.016,16.477,0.010,17.702,0.023,17.959,0.036,17.968,0.024,17.209,0.006
4293.007,16.502,0.011,17.782,0.028,18.153,0.046,17.926,0.027,17.249,0.007
4684.019,16.554,0.010,17.857,0.025,18.556,0.048,17.652,0.021,17.201,0.006
4686.186,16.528,0.013,17.915,0.035,18.622,0.065,17.675,0.028,17.213,0.008
4687.123,16.554,0.023,17.847,0.057,18.589,0.109,17.644,0.046,17.224,0.014
4688.030,16.568,0.011,17.896,0.028,18.678,0.054,17.671,0.022,17.219,0.007
4690.952,16.570,0.013,17.901,0.032,18.627,0.062,17.681,0.026,17.230,0.008
