53097.36692 -11.50698 0.00555 -10.35144 0.00993 -10.23016 0.01083
53104.34275 -11.51123 0.01013 -10.37991 0.01877 -10.19948 0.02186
53112.35871 -11.51952 0.00609 -10.31227 0.01058 -10.21521 0.01132
53124.34724 -11.53007 0.01018 -10.32205 0.02077 -10.15714 0.02338
53125.34540 -11.50735 0.01261 -10.29772 0.01146 -10.18596 0.01246
53131.33128 -11.47721 0.01236 -10.28478 0.02171 -10.20947 0.02312
53138.36788 -11.46290 0.01179 -10.29466 0.02140 -10.19044 0.03242
53146.40152 -11.45269 0.00571 -10.28702 0.02133 -10.20092 0.01011
53154.34193 -11.42273 0.01351 -10.24667 0.01007 -10.20789 0.01035
53168.43594 -11.39772 0.01283 -10.24335 0.01204 -10.14321 0.01541
53175.32704 -11.38275 0.00555 -10.28545 0.00891 -10.13596 0.01332
53184.27885 -11.36650 0.00640 -10.26558 0.01688 -10.11379 0.01529
53202.26401 -11.36007 0.00532 -10.29977 0.00887 -10.09394 0.01265
53211.24171 -11.37504 0.00595 -10.29765 0.01028 -10.14450 0.01703
53225.28875 -11.38550 0.00664 -10.26707 0.01122 -10.10062 0.01255
53231.30558 -11.37878 0.00701 -10.32471 0.01164 -10.04324 0.05150
53243.25972 -11.40639 0.01611 -10.30674 0.01806 -10.09612 0.03992
53246.24197 -11.42423 0.01699 -10.26610 0.03311 -10.01848 0.04129
53251.21934 -11.38916 0.00674 -10.31860 0.01171 -10.05614 0.01441
53258.21683 -11.38145 0.00509 -10.27383 0.00908 -10.08869 0.01745
53265.22679 -11.36122 0.01179 -10.32338 0.02140 -10.12300 0.03242
53270.23260 -11.38745 0.00940 -10.29569 0.01716 -10.07395 0.02073
53274.19688 -11.41250 0.01300 -10.31098 0.02061 -10.11719 0.02433
53279.14586 -11.36915 0.00846 -10.28655 0.01578 -10.09909 0.01692
53282.13527 -11.37562 0.00502 -10.29837 0.00831 -10.07901 0.00963
53287.10428 -11.37957 0.00715 -10.31112 0.01052 -10.09410 0.03871
53291.06561 -11.38087 0.02176 -10.33412 0.01137 -10.10462 0.05286
53292.07604 -11.40140 0.00732 -10.26158 0.01249 -10.01802 0.02693
53295.11768 -11.39639 0.00581 -10.29585 0.00931 -10.08538 0.01690
53298.06788 -11.37473 0.00659 -10.28392 0.01132 -10.08911 0.01314
53301.12371 -11.39218 0.01131 -10.30859 0.01953 -10.05745 0.09564
53303.08280 -11.38957 0.01129 -10.23782 0.02096  -9.99873 0.05594
53307.09320 -11.39417 0.01836 -10.29443 0.02336 -10.10366 0.02817
53310.05251 -11.39976 0.00644 -10.27164 0.01077 -10.06636 0.01227
53320.05256 -11.40345 0.00555 -10.27468 0.01009 -10.08498 0.01627
53324.05961 -11.39984 0.00643 -10.27215 0.01083 -10.11695 0.01210
53328.02504 -11.37830 0.00889 -10.28866 0.01502 -10.07115 0.01781
53332.04578 -11.39138 0.02240 -10.12402 0.04737  -9.99560 0.05291
53338.01549 -11.37372 0.01291 -10.30827 0.02109 -10.05833 0.02572
53345.02102 -11.36614 0.00995 -10.34281 0.01700 -10.08493 0.03250
53483.35833 -11.40016 0.01630 -10.24000 0.01727 -10.11062 0.01916
53497.33575 -11.39790 0.00797 -10.19147 0.03160 -10.00334 0.02705
53508.35492 -11.35956 0.00645 -10.16074 0.01261 -10.06466 0.02970
53520.37522 -11.33340 0.00849 -10.18653 0.01360 -10.13108 0.02079
