name,flag_imaging_tan23,flag_imaging_shajib20,perturber_flag,flag_sigma,z_lens,z_source,sigma_v,sigma_v_error,q,comment_imaging,IFU,n_bin_kcwi,psf_ifu_kcwi,flag_ifu_kcwi,comment_ifu_kcwi,n_bin_vimos,r_max_vimos,psf_ifu_vimos,fiber_scale_vimos,flag_ifu_vimos,ifu_file_name_vimos,comment_ifu_vimos,r_eff_auger,r_eff,r_eff_error,theta_E_auger,theta_E,theta_E_error,gamma,gamma_error,e1_mass,e1_mass_error,e2_mass,e2_mass_error,light_model,r_sersic_1,n_sersic_1,e1_sersic1,e2_sersic1,amp_sersic_1,r_sersic_2,n_sersic_2,e1_sersic2,e2_sersic2,amp_sersic_2
SDSSJ1432+6317,0,0,1,1,0.123,0.664,209,5,-1,,0,,,,,,,,,,,,6.21,,,1.258,,,,,,,,,,,,,,,,,,,
SDSSJ1443+0304,0,0,1,1,0.1338,0.4187,212,8,,,1,,,,,2,2,0.8,0.67,0,J1443_kinmap.fits,rotation,1.38,,,0.812,,,,,,,,,,,,,,,,,,,
SDSSJ1451-0239,0,0,1,1,0.1254,0.5203,203,9,,,1,,,,,3,3,0.8,0.67,1,J1451_kinmap.fits,,2.64,,,1.04,,,,,,,,,,,,,,,,,,,
SDSSJ1531-0105,1,1,1,1,0.16,0.744,261,10,-1,,0,6,0.8,1,,,,,,,,,3.32,3.416,0.019,1.708,1.712,0.0065,2.07,0.052,-0.063,0.0125,-0.181,0.015,double_sersic,1.651398357,4,-0.053786895,-0.176636503,3.226337833,8.085098231,1,-0.053786895,-0.176636503,0.148251589
SDSSJ1538+5817,0,0,0,1,0.143,0.531,177,8,-1,,0,7,0.8,1,,,,,,,,,1.59,,,0.995,,,,,,,,,,,,,,,,,,,
SDSSJ1614+4522,0,0,1,0,0.178,0.811,188,9,-1,,0,,,,,,,,,,,,2.93,,,0.844,,,,,,,,,,,,,,,,,,,
SDSSJ1621+3931,1,1,1,1,0.245,0.602,233,14,-1,,0,6,0.8,1,fast rotation,,,,,,,245.387458,2.77,2.402,0.008,1.29,1.266,0.004,2.02,0.032,0.006,0.015,-0.133,0.0115,double_sersic,1.176377598,4,-0.045204776,-0.15452963,2.692809209,4.701742942,1,-0.045204776,-0.15452963,0.21580477
SDSSJ1627-0053,1,1,1,1,0.208,0.524,274,10,-1,,1,7,0.8,1,,3,3,0.8,0.67,1,J1627_kinmap.fits,246.943542,2.05,2.981,0.055,1.229,1.221,0.001,1.93,0.0255,-0.09,0.003,0.018,0.0025,double_sersic,1.235923926,4,-0.091596409,0.016970777,19.23046694,6.865504103,1,-0.091596409,0.016970777,0.836410156
SDSSJ1630+4520,1,1,1,1,0.248,0.793,282,13,-1,,0,7,0.8,1,,,,,,,,,2.05,1.946,0.001,1.778,1.791,0.001,1.92,0.0105,0.082,0.002,0.053,0.002,double_sersic,1.946568093,4,0.071681879,0.054939022,12.47033926,1.631794409,1,0.071681879,0.054939022,0.000173032
SDSSJ1636+4707,1,1,1,1,0.228,0.675,223,10,-1,,0,,,,,,,,,,,,1.84,1.745,0.01,1.085,1.084,0.0025,1.75,0.021,0.037,0.0625,-0.038,0.008,double_sersic,1.569865942,4,0.119043828,-0.052512491,2.046142874,4.744815084,1,0.119043828,-0.052512491,0.033571072
SDSSJ1644+2625,0,0,1,0,0.137,0.61,208,8,-1,,0,,,,,,,,,,,,2.32,,,1.267,,,,,,,,,,,,,,,,,,,
SDSSJ2238-0754,1,1,1,1,0.137,0.713,225,8,-1,,1,,,,,3,3,0.8,0.67,0,J2238_kinmap.fits,rotation,2.41,2.755,0.039,1.271,1.27,0.001,2.34,0.0205,-0.006,0.004,-0.164,0.011,double_sersic,2.1395412,4,-0.0127491,-0.13735722,20.20083641,8.743249901,1,-0.0127491,-0.13735722,0.402418832
SDSSJ2300+0022,1,1,1,1,0.228,0.463,299,13,-1,,1,,,,,3,3,0.8,0.67,1,J2300_kinmap.fits,345.221458,1.93,1.897,0.037,1.236,1.232,0.004,1.66,0.047,0.096,0.0085,0.065,0.007,double_sersic,1.630724399,4,0.123753793,0.020377373,12.57166982,6.322600593,1,0.123753793,0.020377373,0.163126982
SDSSJ2302-0840,1,-1,1,1,0.09,0.222,259,6,-1,no Einstein radius reported in Auger et al. 2009,0,,,,,,,,,,,,3.18,2.523,0.002,,1.038,0.001,2.6,0.0105,-0.174,0.0115,-0.111,0.01,single_sersic,2.523251239,4,-0.090860667,-0.044834994,3.594770584,,,,,
SDSSJ2303+1422,1,1,1,1,0.155,0.517,250,12,-1,,1,6,0.8,1,,3,3.5,0.8,0.67,1,J2303_kinmap.fits,345.8405,3.54,3.61,0.013,1.619,1.622,0.002,1.94,0.011,-0.076,0.0035,0.2,0.0065,double_sersic,3.618800451,4,-0.05165575,0.201111371,7.141919961,2.703420041,1,-0.05165575,0.201111371,0.100090246
SDSSJ2321-0939,0,0,1,1,0.082,0.532,239,5,-1,,1,,,,,4,4,0.8,0.67,1,J2321_kinmap.fits,,4.79,,,1.6,,,,,,,,,,,,,,,,,,,
SDSSJ2341+0000,0,0,1,1,0.186,0.807,212,9,-1,,0,,,,,,,,,,,,4.52,,,1.444,,,,,,,,,,,,,,,,,,,
SDSSJ2343-0030,1,1,0,0,0.181,0.463,254,8,-1,half-light radius not from SDSS V-band - from HST F606W,0,,,,,,,,355.995292,-0.5062222,0.6616191,0.00345276,2.74,2.531,0.01,1.515,1.506,0.002,2.16,0.026,-0.045,0.007,0.176,0.009,double_sersic,2.644090979,4,-0.0605771,0.176227879,1.281190693,0.223067573,1,-0.0605771,0.176227879,8.238208228
SDSSJ2347-0005,1,0,1,0,0.417,0.714,0,0,-1,,0,,,,,,,,,,,,1.8,1.318,0.015,1.107,1.077,0.0045,1.98,0.0175,-0.152,0.013,0.188,0.017,double_sersic,0.922153491,4,-0.136792892,0.105220343,1.478925491,2.71469474,1,-0.136792892,0.105220343,0.105563524
