Source,Data,L_col_bW,L_col_ZW
M101,23.806,-0.217948,0.0558704
M101,23.618,-0.216445,0.0627804
M101,24.5947,-0.210557,0.0973304
M101,24.1173,-0.195664,0.0488904
M101,23.6596,-0.180279,0.0467104
M101,23.9667,-0.164025,0.0853504
M101,23.1796,-0.145982,0.10246
M101,24.2294,-0.133235,0.0716204
M101,23.925,-0.127668,0.0756904
M101,24.0837,-0.104485,0.0620304
M101,23.6494,-0.0780907,0.12481
M101,23.9281,-0.0773641,0.0919504
M101,23.2682,-0.0736464,0.0867504
M101,23.2049,-0.0569038,0.0513904
M101,22.9019,-0.043029,0.11697
M101,23.3648,-0.0328946,0.10759
M101,23.3612,-0.0158216,0.0861204
M101,22.9808,-0.00550407,0.11311
M101,23.7738,-0.00252581,0.0730004
M101,23.133,0.0109677,0.10303
M101,22.9181,0.015681,0.11995
M101,22.2325,0.0191828,0.11812
M101,22.9032,0.0206749,0.0937704
M101,22.7977,0.0243831,0.0940504
M101,22.9273,0.028141,0.0867304
M101,22.7825,0.0284256,0.11932
M101,22.4504,0.0315037,0.1152
M101,23.0417,0.0354009,0.0975604
M101,22.7098,0.0359606,0.12684
M101,22.8507,0.0392635,0.12224
M101,22.1663,0.0400952,0.10413
M101,23.2932,0.0441517,0.11636
M101,23.0257,0.0446217,0.12885
M101,23.2054,0.0471207,0.12004
M101,22.4844,0.0516136,0.12034
M101,23.1254,0.0516521,0.0767904
M101,23.3155,0.0527296,0.0549904
M101,23.6735,0.0556024,0.0962404
M101,23.6238,0.0560985,0.0917304
M101,23.3999,0.0842631,0.11576
M101,23.1092,0.085227,0.0980804
M101,23.3565,0.089203,0.0856604
M101,22.7863,0.0895209,0.10704
M101,22.5327,0.0962831,0.11094
M101,22.9333,0.106284,0.1138
M101,22.8749,0.106963,0.11754
M101,22.5597,0.108926,0.1211
M101,23.031,0.110173,0.0721204
M101,23.7767,0.110678,0.0976604
M101,23.0302,0.114329,0.11211
M101,22.7289,0.135547,0.0481104
M101,22.8256,0.138869,0.0853304
M101,22.3188,0.143571,0.11777
M101,22.8414,0.143571,0.10445
M101,23.0354,0.146894,0.0660304
M101,22.7394,0.148932,0.10668
M101,22.7434,0.14964,0.0816904
M101,22.2616,0.150622,0.11741
M101,22.0271,0.151205,0.0562204
M101,22.2014,0.155746,0.0778304
M101,22.3869,0.158948,0.0573804
M101,22.2666,0.16027,0.11693
M101,22.8652,0.176552,0.0794504
M101,23.295,0.177418,0.13201
M101,22.2673,0.181552,0.0411204
M101,23.0884,0.183973,0.12017
M101,22.8511,0.186353,0.0989104
M101,22.655,0.190319,0.0558104
M101,22.7864,0.195717,0.11593
M101,22.5435,0.215262,0.0848504
M101,23.1955,0.224158,0.12083
M101,23.0801,0.224417,0.0936404
M101,22.0338,0.224986,0.12719
M101,22.5789,0.227743,0.0942204
M101,22.6971,0.231579,0.0962604
M101,22.097,0.232037,0.11457
M101,22.6284,0.234801,0.0532704
M101,21.8955,0.234902,0.0751504
M101,22.0942,0.23644,0.11593
M101,22.4413,0.249461,0.0979504
M101,22.8627,0.254078,0.0452304
M101,22.7878,0.257138,0.1138
M101,22.3588,0.260866,0.0701604
M101,22.0784,0.261437,0.11751
M101,22.5768,0.263595,0.13262
M101,22.5229,0.274155,0.12796
M101,22.0343,0.282115,0.12299
M101,22.4502,0.283269,0.0935704
M101,22.0579,0.285343,0.12114
M101,22.5309,0.288816,0.0589104
M101,22.3629,0.290687,0.0976604
M101,22.2192,0.29102,0.0786604
M101,22.4189,0.292372,0.11918
M101,21.9186,0.311151,0.0454204
M101,22.2529,0.313603,0.12428
M101,21.8879,0.362209,0.0915104
M101,22.2608,0.362812,0.12244
M101,21.8846,0.38073,0.0974604
M101,21.9362,0.390586,0.12436
M101,21.8689,0.391468,0.10455
M101,22.2056,0.394663,0.0753104
M101,22.4811,0.394838,0.11625
M101,21.8676,0.402239,0.0980304
M101,21.8293,0.416591,0.0727404
M101,22.1661,0.41883,0.0537304
M101,21.6987,0.422208,0.126
M101,22.1679,0.424729,0.0804004
M101,22.1326,0.429371,0.0392204
M101,22.0298,0.435065,0.11322
M101,21.735,0.462633,0.12651
M101,21.8122,0.469753,0.0637904
M1337,26.0332,0.451667,-0.20349
M1337,25.9087,0.651759,-0.19048
M1337,24.6057,0.595587,-0.19553
M1337,24.4164,0.776359,-0.20232
M1337,24.647,0.717936,-0.18112
M1337,23.3176,0.904651,-0.16787
M1337,23.2084,0.886489,-0.169
M1337,24.4722,0.752393,-0.1704
M1337,25.5216,0.687206,-0.16088
M1337,23.865,0.700857,-0.14176
M1337,25.0028,0.49396,-0.21535
M1337,24.5957,0.854731,-0.19215
M1337,25.5442,0.522604,-0.21945
M1337,24.5514,0.847615,-0.17377
M1337,24.7179,0.695307,-0.1911
N0691,25.2907,0.396421,0.0881804
N0691,25.0969,0.610807,0.0558604
N0691,24.4746,0.706293,0.0407904
N0691,24.2774,0.776776,0.13565
N0691,24.5686,0.505828,0.0469504
N0691,25.0918,0.629247,0.0950604
N0691,24.6058,0.695008,0.0306304
N0691,25.3457,0.426475,0.0268404
N0691,24.2303,0.875633,0.0432004
N0691,24.9561,0.619949,0.10084
N0691,24.9502,0.806818,0.0749204
N0691,24.8633,0.749403,0.0805304
N0691,24.8119,0.54447,0.14267
N0691,23.9086,0.740075,0.0891604
N0691,23.7564,0.960774,0.11029
N0691,24.039,0.835922,0.12502
N0691,25.0086,0.632007,0.0996404
N0691,24.9844,0.634302,0.10164
N0691,24.9416,0.532486,0.0650204
N0691,26.3288,0.489488,0.11279
N0691,24.5859,0.476005,0.12277
N0691,24.0183,0.744043,0.10716
N0691,25.7834,0.419846,0.14254
N0691,24.3481,0.795648,0.1359
N0691,24.4598,0.649268,0.0417404
N0691,24.9529,0.503998,0.0890704
N0691,24.1613,0.6228,0.11199
N0691,25.2881,0.648736,0.0982804
N1015,24.6483,0.739555,0.0251004
N1015,24.681,0.695086,-0.0829896
N1015,23.6014,1.00933,0.0328904
N1015,25.6527,0.417469,0.0616404
N1015,23.581,0.798297,-0.0735496
N1015,24.3717,0.606545,-0.0435496
N1015,24.4865,0.76152,-0.0811296
N1015,25.0965,0.591756,0.11054
N1015,23.9247,0.804803,-0.0871696
N1015,23.5279,0.854755,0.0198204
N1015,24.2957,0.544043,-0.0240596
N1015,24.0294,0.787794,-0.00269958
N1015,24.0974,0.858379,-0.12459
N1015,25.2872,0.418258,0.0428804
N1015,25.3528,0.470556,-0.0326796
N1015,25.1153,0.512425,-0.0680796
N1015,23.496,0.928272,-0.0621296
N1015,24.9141,0.548534,-0.0801296
N105A,26.3375,0.492083,-0.17947
N105A,28.1859,0.510025,-0.17817
N105A,27.4582,0.5612,-0.0674596
N105A,26.9909,0.566697,-0.10013
N105A,27.0049,0.566986,-0.0511796
N105A,25.4323,0.605464,-0.15116
N105A,26.4305,0.746024,-0.1359
N105A,25.7769,0.793635,-0.16579
N1309,25.2181,0.578512,-0.29034
N1309,24.7356,0.592111,-0.18715
N1309,24.8832,0.595336,-0.0837496
N1309,24.6817,0.593303,-0.13257
N1309,24.9967,0.59415,-0.15981
N1309,25.3291,0.594414,-0.11883
N1309,25.4056,0.597796,-0.0763096
N1309,24.3888,0.60865,0.00352042
N1309,24.6355,0.61055,-0.24454
N1309,23.5937,0.61844,0.0463304
N1309,24.6413,0.620183,0.0122904
N1309,24.2708,0.621971,-0.0808296
N1309,24.7643,0.623885,0.11126
N1309,24.0688,0.631437,-0.14627
N1309,24.7623,0.642388,-0.10742
N1309,23.9579,0.644204,0.00417042
N1309,24.4392,0.64692,-0.17448
N1309,23.5258,0.643959,-0.0762596
N1309,24.242,0.655119,-0.10588
N1309,25.0754,0.671499,0.0689004
N1309,24.5497,0.677148,-0.19292
N1309,24.7711,0.680478,-0.17001
N1309,23.7207,0.677593,-0.0796996
N1309,24.1528,0.682869,-0.17101
N1309,24.6087,0.692812,-0.0962096
N1309,24.0572,0.701588,-0.12681
N1309,24.3997,0.708395,-0.0889896
N1309,25.2847,0.708825,-0.0343296
N1309,23.902,0.713754,-0.17816
N1309,24.8379,0.716508,0.0212704
N1309,24.4474,0.717701,-0.0140996
N1309,24.5308,0.742197,0.00748042
N1309,24.2697,0.752084,-0.0254896
N1309,24.6924,0.751549,0.0781104
N1309,24.1391,0.767845,0.00612042
N1309,24.1179,0.768243,-0.0494696
N1309,23.9849,0.778979,-0.11848
N1309,23.6776,0.790282,-0.0173996
N1309,24.08,0.804115,-0.0694096
N1309,23.9317,0.80803,-0.1839
N1309,23.074,0.809425,0.00966042
N1309,23.593,0.805103,-0.21358
N1309,24.5228,0.82817,-0.0853596
N1309,24.125,0.760381,-0.00206958
N1309,24.0729,0.838528,-0.12443
N1309,24.0105,0.838327,-0.0407996
N1309,24.0972,0.851784,-0.15956
N1309,23.9809,0.864577,0.0188304
N1309,24.2719,0.87,-0.16244
N1309,24.1099,0.877004,-0.0372596
N1309,23.3989,0.926422,0.0267704
N1309,23.6979,0.954665,-0.14217
N1309,24.1541,0.955245,-0.0979396
N1365,25.1206,0.19952,-0.1124
N1365,24.6087,0.199711,-0.34427
N1365,24.2657,0.213745,-0.37566
N1365,24.4346,0.220816,-0.18152
N1365,24.7755,0.227978,-0.25481
N1365,25.0218,0.22831,-0.12235
N1365,24.3348,0.256077,-0.13192
N1365,25.4066,0.291877,-0.13118
N1365,23.3131,0.293265,0.00856042
N1365,24.2433,0.31377,-0.0703896
N1365,24.8413,0.342829,-0.00022958
N1365,24.5725,0.400666,-0.00054958
N1365,24.0649,0.407649,-0.34164
N1365,24.5276,0.407666,-0.0231896
N1365,23.5153,0.413889,-0.0622496
N1365,24.0749,0.421221,-0.0842796
N1365,23.8078,0.422236,0.00934042
N1365,23.8709,0.428287,-0.0767596
N1365,23.9502,0.428625,-0.34051
N1365,23.9966,0.42951,-0.0620796
N1365,24.0618,0.436158,-0.17819
N1365,24.4725,0.436633,-0.25539
N1365,23.5928,0.436727,0.0581304
N1365,24.3678,0.443858,-0.0900896
N1365,23.8284,0.465003,-0.18877
N1365,24.1792,0.465595,-0.28334
N1365,23.9208,0.466791,-0.30547
N1365,23.4843,0.479619,-0.0816196
N1365,23.9443,0.480391,-0.0814796
N1365,23.8546,0.494174,-0.0859396
N1365,24.1642,0.522702,0.0115104
N1365,23.7246,0.530348,-0.20716
N1365,24.2188,0.535098,-0.33215
N1365,23.0384,0.5431,-0.12965
N1365,23.8091,0.545197,-0.17403
N1365,23.1648,0.565904,0.0345504
N1365,23.8921,0.56676,-0.14036
N1365,22.662,0.567006,-0.12166
N1365,23.9638,0.56745,-0.34814
N1365,23.5185,0.589319,-0.0425496
N1365,22.9475,0.607525,-0.21253
N1365,23.6874,0.608813,-0.1011
N1365,22.7088,0.630059,-0.0797396
N1365,23.5878,0.63111,-0.17775
N1365,23.2077,0.666883,-0.15465
N1365,22.9602,0.67196,-0.0839696
N1448,24.2035,0.320717,-0.0796196
N1448,23.5039,0.532471,-0.0251296
N1448,23.4074,0.514665,0.0281404
N1448,23.4273,0.564183,-0.0456196
N1448,23.9495,0.273037,-0.16057
N1448,24.6096,0.290385,-0.0213196
N1448,23.8431,0.315161,-0.00227958
N1448,24.0824,0.438532,-0.0771996
N1448,24.2168,0.293962,-0.0810396
N1448,23.6447,0.596265,-0.0787396
N1448,23.1799,0.433091,-0.19068
N1448,24.1642,0.254727,-0.0750396
N1448,23.1024,0.628324,0.0258904
N1448,24.8365,0.237118,-0.24118
N1448,24.0372,0.419521,-0.22147
N1448,23.1834,0.696138,-0.21893
N1448,23.6733,0.482965,-0.21586
N1448,24.7989,0.209702,-0.20671
N1448,23.6038,0.480052,-0.21125
N1448,24.5618,0.344102,-0.19468
N1448,23.6928,0.427501,-0.20358
N1448,24.4829,0.301936,-0.18525
N1448,24.7081,0.264744,-0.18348
N1448,23.127,0.686672,-0.19395
N1448,25.1328,0.205113,-0.17903
N1448,24.5217,0.387401,-0.15093
N1448,23.0751,0.731238,-0.19856
N1448,24.1911,0.353808,-0.15671
N1448,23.7743,0.522492,-0.19453
N1448,23.6794,0.283502,-0.16421
N1448,22.1498,0.920481,-0.19587
N1448,24.7801,0.355223,-0.16784
N1448,23.6149,0.450258,-0.14086
N1448,22.3921,0.951884,-0.17197
N1448,24.102,0.405428,-0.10531
N1448,22.8444,0.597808,-0.10962
N1448,23.3849,0.676421,-0.20149
N1448,23.9064,0.265895,-0.11417
N1448,23.3782,0.59271,-0.19824
N1448,22.9841,0.771625,-0.17354
N1448,25.1892,0.211274,-0.0957096
N1448,23.2509,0.561543,-0.15199
N1448,23.076,0.643886,-0.17277
N1448,22.4228,0.934637,-0.0829696
N1448,23.9408,0.508202,-0.14694
N1448,23.1585,0.707317,-0.0764696
N1448,25.3812,0.183568,-0.1573
N1448,23.9191,0.573455,-0.0639596
N1448,24.5897,0.209488,-0.0653696
N1448,23.6307,0.454366,-0.0871896
N1448,22.9757,0.441705,-0.0652796
N1448,22.6799,0.756943,-0.0784896
N1448,23.3772,0.545677,-0.0537196
N1448,22.0123,1.0507,-0.0744696
N1448,23.782,0.593185,-0.0674696
N1448,23.6769,0.430706,-0.0704696
N1448,23.0481,0.701127,-0.0481896
N1448,24.6161,0.199218,-0.0523996
N1448,24.1096,0.526784,-0.13816
N1448,23.9476,0.391443,-0.0376296
N1448,23.8734,0.315078,-0.0287996
N1448,24.591,0.333029,-0.15049
N1448,24.1807,0.312199,-0.0933096
N1448,22.6488,0.800593,0.00063042
N1448,23.3317,0.761733,0.00026042
N1448,23.5441,0.404645,-0.16184
N1448,24.7277,0.197766,-0.0779596
N1448,22.8586,0.859493,0.0114904
N1448,23.6932,0.426205,0.0126604
N1448,22.911,0.81637,0.0156804
N1448,21.7497,0.796389,0.0211504
