ID,Survey,RAJ2000,DEJ2000,P,nJ,nH,Jmag,e_Jmag,Hmag,e_Hmag,Type,Flag,FlagJ,FlagH,E(B-V),Jmagc,Hmagc,Catalog
1001003,K18a,11.276471,41.694859,10.056679,2,2,19.2,0.036,18.783,0.041,FM,0,0,0,0.22256,19.055,18.698,C
981167,K18a,11.016231,41.62778,10.097464,1,1,19.275,0.036,18.853,0.041,FM,0,0,0,0.23165,19.126,18.767,C
2156032,K18a,11.649544,42.173111,10.230623,1,1,19.333,0.036,18.9,0.041,FM,0,0,0,0.25341,19.174,18.808,C
2159007,K18a,11.632067,42.187503,10.130647,2,2,19.558,0.036,18.935,0.041,FM,0,0,0,0.24162,19.405,18.846,C
2211114,K18a,11.184855,41.92721,10.29074,1,1,19.371,0.036,18.791,0.041,FM,0,0,0,0.2638,19.208,18.696,C
2039658,K18a,11.445822,41.874928,10.301024,1,1,19.529,0.036,18.94,0.041,FM,0,0,0,0.25161,19.371,18.848,C
184790,K18a,11.022,41.234537,10.291195,1,1,19.456,0.036,19.007,0.041,FM,0,0,0,0.24092,19.303,18.918,C
2097144,K18a,11.709881,42.00699,10.511878,1,1,19.155,0.036,18.692,0.041,FM,0,0,1,0.26691,18.991,18.596,C
116394,K18a,11.091714,41.354962,10.30269,1,1,19.522,0.036,19.027,0.041,FM,0,0,0,0.29362,19.346,18.924,C
884061,K18a,11.415258,41.826282,10.357944,1,1,19.574,0.036,19.003,0.041,FM,0,0,0,0.29997,19.395,18.899,C
2041897,K18a,11.380759,41.880821,10.431163,1,1,19.519,0.036,19.062,0.041,FM,0,0,0,0.2558,19.36,18.969,C
2106187,K18a,11.348137,42.030095,10.364731,1,1,19.403,0.036,18.895,0.041,FM,0,0,0,0.2743,19.235,18.798,C
227337,K18a,11.171482,41.407246,10.351806,1,1,19.485,0.036,18.93,0.041,FM,0,0,0,0.2562,19.325,18.837,C
527554,K18a,10.873332,41.236885,10.498164,1,1,19.241,0.036,18.726,0.041,FM,0,0,0,0.20245,19.105,18.647,C
2110502,K18a,11.358277,42.040479,10.463475,1,1,19.313,0.036,18.786,0.041,FM,0,0,0,0.21668,19.17,18.703,C
105347,K18a,11.053299,41.306848,10.631334,1,1,19.724,0.036,19.156,0.041,FM,0,0,0,0.25777,19.563,19.063,C
819676,K18a,11.368499,41.659542,10.58497,1,1,19.71,0.036,19.11,0.041,FM,0,0,0,0.25114,19.553,19.018,C
181759,K18a,10.974489,41.223678,10.731068,1,1,19.486,0.036,18.828,0.041,FM,0,0,0,0.27832,19.316,18.73,C
982049,K18a,10.972424,41.631181,10.76856,1,1,19.098,0.036,18.619,0.041,FM,0,0,0,0.21453,18.957,18.537,C
225289,K18a,11.169752,41.399471,10.849932,1,1,19.605,0.036,19.131,0.041,FM,0,0,0,0.25623,19.445,19.038,C
510468,K18a,10.742529,41.188987,10.816195,1,1,19.322,0.036,18.793,0.041,FM,0,0,0,0.17839,19.197,18.72,C
893622,K18a,11.091731,41.664196,10.868163,2,2,19.462,0.036,19.029,0.041,FM,0,0,0,0.2094,19.323,18.948,C
1082371,K18a,11.138409,41.626066,10.644129,2,2,19.076,0.036,18.546,0.041,FM,0,0,0,0.2088,18.937,18.465,C
2051597,K18a,11.410193,41.903695,10.956028,1,1,19.696,0.036,19.049,0.041,FM,0,0,0,0.29907,19.518,18.945,C
114155,K18a,11.072288,41.345708,10.893389,1,1,19.806,0.036,19.103,0.041,FM,0,0,0,0.29243,19.63,19.001,C
171428,K18a,10.951482,41.185825,10.949636,1,1,19.718,0.036,19.119,0.041,FM,0,0,0,0.27325,19.551,19.022,C
2470978,K18a,11.576245,42.216002,10.953605,1,1,19.868,0.036,19.268,0.041,FM,0,0,0,0.28967,19.693,19.166,C
2124341,K18a,11.61505,42.074725,11.145869,1,1,19.207,0.036,18.715,0.041,FM,0,0,1,0.2303,19.058,18.629,C
870641,K18a,11.332468,41.788876,11.13689,1,1,19.478,0.036,18.861,0.041,FM,0,0,0,0.26896,19.313,18.765,C
108565,K18a,11.092562,41.321368,10.960361,1,1,19.356,0.036,18.857,0.041,FM,0,0,0,0.26004,19.194,18.763,C
2186453,K18a,11.231916,41.865245,11.13331,1,1,19.167,0.036,18.762,0.041,FM,0,0,0,0.24378,19.013,18.672,C
2464248,K18a,11.752913,42.174373,11.217337,1,1,19.477,0.036,18.972,0.041,FM,0,0,0,0.26821,19.311,18.876,C
