PGC,Nest,Nmb,logpK,Mvir,Mlum
2828182,100434,7,10.65,48.1,122.0
2829045,203991,1,10.25,,142.0
2832008,200867,3,10.51,,247.0
2832009,200065,14,10.9,411.0,506.0
2832011,200027,25,11.03,1050.0,837.0
2832013,200086,12,10.8,206.0,268.0
2832014,201996,2,9.47,,3.58
2832016,202517,2,10.2,,95.4
2832017,200620,4,10.32,,47.9
2832018,200752,4,10.15,,29.7
2832021,200580,4,10.35,,138.0
2832032,100067,31,10.98,1290.0,1300.0
2832039,100168,8,10.85,1100.0,1720.0
2832043,100025,23,11.02,386.0,771.0
2832044,103293,1,10.22,,2200.0
2832068,107323,1,9.78,,12.0
2944028,204265,1,10.23,,92.9
3073574,100940,3,9.83,,9.96
3073577,102126,2,9.9,,12.3
3073924,210136,1,9.47,,2.4
3074077,209925,1,9.38,,2.74
3074087,101889,2,10.25,,88.8
3074094,100714,4,10.24,,21.2
3074168,104515,1,10.02,,112.0
3074327,210642,1,9.68,,1.8
3074415,204008,1,10.05,,138.0
3074416,200945,3,10.06,,16.6
3074490,110509,1,9.39,,2.89
3074615,107426,1,9.7,,11.8
3074694,201141,3,10.17,,15.8
3074831,101476,3,10.45,,651.0
3074855,104516,1,10.23,,118.0
3074864,101476,3,10.5,,651.0
3074866,101476,3,10.5,,651.0
3074887,109857,1,10.07,,3.99
3074931,101151,3,9.97,,18.1
3075025,103959,1,10.14,,288.0
3075103,201589,2,10.23,,180.0
3075108,100792,4,10.0,,10.7
3075115,100792,4,10.0,,10.7
3075149,100116,10,10.44,127.0,54.0
3075152,100792,4,10.0,,10.7
3075191,100116,10,10.44,127.0,54.0
3075208,100116,10,10.44,127.0,54.0
3075214,101741,2,9.82,,4.75
3075236,211175,1,9.16,,1.24
3075305,101052,3,9.78,,4.63
3075412,105581,1,9.95,,34.4
3075790,104989,1,9.87,,62.8
3076009,204244,1,10.08,,97.9
3076098,201772,2,10.31,,85.8
3076100,201772,2,10.31,,85.8
3076540,103806,1,10.11,,407.0
3076547,100389,5,10.6,347.0,287.0
3076683,106322,1,10.17,,21.3
3076743,100921,3,10.45,,173.0
3076803,102166,2,10.54,,251.0
3076860,111579,1,9.12,,1.5
3076910,100402,5,10.15,23.3,19.1
3076923,100402,5,10.15,23.3,19.1
3076925,100402,5,10.15,23.3,19.1
3076932,100402,5,10.15,23.3,19.1
3076949,100964,3,9.83,,9.52
3076960,100402,5,10.15,23.3,19.1
3076989,100964,3,9.83,,9.52
3076997,100397,5,10.71,59.1,268.0
3077002,100397,5,10.7,59.1,268.0
3077015,100397,5,10.71,59.1,268.0
3077061,102691,2,10.15,,50.8
3077066,102687,2,10.29,,59.5
3077092,110639,1,9.39,,2.65
3077105,102691,2,10.14,,50.8
3077175,103065,2,10.29,,65.9
3077218,108007,1,9.61,,8.93
3077474,200002,167,10.83,1820.0,1270.0
3077521,200002,167,11.0,1820.0,1270.0
3077531,200002,167,11.0,1820.0,1270.0
3077533,200288,6,10.86,2490.0,6650.0
3077584,203681,1,10.29,,254.0
