PGC,Nest,Nmb,logpK,Mvir,Mlum
2,200275,7,10.41,18.6,27.5
5,200619,4,10.34,,88.1
12,210177,1,9.36,,2.34
14,200601,4,10.57,,154.0
16,211419,1,9.78,,0.977
18,200275,7,10.41,18.6,27.5
23,202425,2,10.12,,57.7
25,205376,1,9.84,,30.5
30,206399,1,9.93,,16.2
31,202464,2,9.85,,6.24
36,200619,4,10.34,,88.1
39,200601,4,10.47,,154.0
40,209793,1,9.84,,2.97
45,208497,1,9.49,,5.61
54,200314,6,10.55,76.7,95.4
58,200314,6,10.55,76.7,95.4
63,200314,6,10.55,76.7,95.4
64,200033,25,10.84,12800.0,8570.0
65,202464,2,9.76,,6.24
66,200033,25,10.84,12800.0,8570.0
70,209949,1,9.35,,2.74
73,209738,1,9.76,,3.05
75,200697,4,10.57,,211.0
76,209247,1,10.35,,3.98
77,202696,2,10.27,,115.0
80,207489,1,9.6,,9.04
81,209167,1,10.14,,4.19
82,200218,7,10.57,624.0,175.0
90,200697,4,10.58,,211.0
91,202696,2,10.27,,115.0
95,205561,1,9.76,,26.1
96,204117,1,10.06,,118.0
99,207903,1,9.62,,7.51
100,200611,4,10.12,,34.9
101,202049,2,9.87,,11.5
102,210310,1,9.71,,2.22
109,200786,4,10.21,,8.8
112,200786,4,10.21,,8.8
114,200033,25,10.75,12800.0,8570.0
116,207515,1,9.62,,9.04
117,207765,1,9.6,,7.92
120,202766,2,9.83,,7.31
123,205549,1,9.87,,26.8
127,204357,1,10.12,,81.4
129,202766,2,9.83,,7.31
130,200664,4,10.52,,38.8
140,200611,4,10.12,,34.9
142,201987,2,10.21,,190.0
147,201183,3,9.85,,11.2
148,204764,1,9.87,,51.9
149,207243,1,9.6,,10.3
151,208215,1,9.69,,6.4
152,200664,4,10.36,,38.8
158,203329,1,10.11,,695.0
160,200697,4,10.58,,211.0
163,202049,2,9.87,,11.5
164,202410,2,9.84,,13.1
168,201645,2,9.74,,10.9
172,200664,4,10.36,,38.8
176,201890,2,9.75,,4.79
177,209543,1,9.36,,3.39
179,211101,1,9.2,,1.31
186,208101,1,9.8,,6.75
191,209831,1,9.53,,2.89
192,201890,2,9.75,,4.79
195,209214,1,10.01,,4.08
201,202410,2,9.84,,13.1
204,206337,1,10.11,,16.6
205,207476,1,9.85,,9.28
206,200786,4,10.21,,8.8
207,201183,3,9.86,,11.2
211,200218,7,10.57,624.0,175.0
212,205137,1,9.99,,36.8
213,200033,25,10.76,12800.0,8570.0
216,201645,2,9.74,,10.9
218,211714,1,8.98,,0.693
224,200108,11,10.72,169.0,268.0
226,200076,13,10.81,205.0,519.0
233,200108,11,10.72,169.0,268.0
240,200542,5,10.18,0.375,28.2
243,206312,1,9.83,,17.1
246,201376,3,9.99,,17.5
250,208532,1,9.53,,5.61
252,200076,13,10.81,205.0,519.0
258,200932,3,10.12,,60.8
261,200308,6,10.71,218.0,431.0
262,208331,1,9.46,,6.07
263,208248,1,10.08,,6.24
270,200308,6,10.71,218.0,431.0
277,201376,3,9.99,,17.5
279,202396,2,9.43,,2.89
280,207374,1,10.53,,9.53
287,208099,1,9.48,,6.75
288,201263,3,10.1,,21.1
292,205875,1,9.73,,21.7
293,209619,1,9.39,,3.22
294,202563,2,10.24,,38.8
296,201376,3,9.99,,17.5
303,200786,4,10.21,,8.8
304,200275,7,10.45,18.6,27.5
306,202409,2,10.39,,25.4
307,211271,1,9.17,,1.15
312,211164,1,9.13,,1.24
313,202409,2,10.44,,25.4
319,200654,4,10.41,,106.0
320,202563,2,10.24,,38.8
322,200941,3,10.11,,27.5
323,200542,5,10.18,0.375,28.2
325,207047,1,9.62,,11.5
326,205517,1,9.96,,27.5
328,210000,1,9.78,,2.6
331,200218,7,10.57,624.0,175.0
337,208543,1,9.61,,5.61
344,201183,3,9.86,,11.2
348,200941,3,10.11,,27.5
350,201207,3,10.12,,29.0
353,201352,3,9.89,,7.92
354,201263,3,10.1,,21.1
356,209259,1,9.41,,3.98
358,200108,11,10.72,169.0,268.0
362,200108,11,10.76,169.0,268.0
364,207885,1,9.71,,7.51
366,201263,3,10.1,,21.1
367,207240,1,9.72,,10.3
368,202724,2,9.96,,26.8
378,201352,3,9.96,,7.92
380,200700,4,10.3,,10.6
381,202724,2,9.96,,26.8
382,200108,11,10.76,169.0,268.0
383,200108,11,10.61,169.0,268.0
386,200941,3,10.11,,27.5
392,208044,1,9.58,,6.93
393,206241,1,9.81,,17.5
399,200218,7,10.53,624.0,175.0
404,206599,1,10.23,,14.2
405,210220,1,9.3,,2.28
408,203281,1,,,859.0
415,200542,5,10.18,0.375,28.2
420,200108,11,10.76,169.0,268.0
424,211136,1,9.76,,1.27
426,210246,1,9.82,,2.28
435,201207,3,10.12,,29.0
437,201207,3,10.12,,29.0
449,200409,5,10.48,276.0,109.0
456,200108,11,10.76,169.0,268.0
457,200409,5,10.45,276.0,109.0
461,210973,1,9.12,,1.42
462,208518,1,9.51,,5.61
465,200076,13,10.68,205.0,519.0
468,200409,5,10.46,276.0,109.0
473,202165,2,9.94,,17.1
474,212126,1,9.27,,0.247
483,202932,2,9.76,,5.05
485,207036,1,9.93,,11.5
487,200218,7,10.55,624.0,175.0
488,202932,2,9.76,,5.05
490,204838,1,9.9,,49.2
491,209541,1,9.84,,3.39
493,200108,11,10.76,169.0,268.0
505,200076,13,10.79,205.0,519.0
507,208894,1,10.01,,4.66
511,201352,3,9.96,,7.92
515,210067,1,9.83,,2.53
516,200076,13,10.79,205.0,519.0
525,200076,13,10.79,205.0,519.0
526,200108,11,10.76,169.0,268.0
537,200108,11,10.72,169.0,268.0
546,202496,2,10.25,,142.0
551,201644,2,10.3,,166.0
558,206785,1,9.7,,13.1
564,209616,1,9.86,,3.3
565,210765,1,9.52,,1.66
567,200542,5,10.18,0.375,28.2
569,200373,6,10.29,7.12,25.4
571,200389,5,10.76,5460.0,3410.0
574,200700,4,10.45,,10.6
575,200700,4,10.45,,10.6
576,201251,3,10.04,,22.2
584,205842,1,10.39,,22.2
595,210582,1,9.46,,1.84
601,210966,1,9.37,,1.45
602,202165,2,9.91,,17.1
603,206423,1,10.19,,16.2
604,205142,1,9.8,,36.8
608,200373,6,10.29,7.12,25.4
613,202903,2,9.66,,6.58
616,200076,13,10.62,205.0,519.0
617,209085,1,9.84,,4.3
624,209708,1,9.39,,3.13
629,202903,2,9.66,,6.58
634,205998,1,10.14,,20.5
637,205387,1,9.93,,30.5
639,204986,1,9.99,,42.0
640,206649,1,10.05,,13.8
642,210102,1,9.34,,2.47
645,202466,2,9.46,,2.11
647,212360,1,8.81,,0.016
650,200373,6,10.29,7.12,25.4
658,209042,1,9.55,,4.42
659,209361,1,9.61,,3.77
660,209830,1,9.48,,2.89
661,208695,1,9.63,,5.18
662,201251,3,10.04,,22.2
674,201251,3,10.04,,22.2
676,200700,4,10.45,,10.6
679,200373,6,10.29,7.12,25.4
680,200196,8,10.45,23.7,28.2
683,207860,1,10.11,,7.51
684,205901,1,10.19,,21.7
688,200264,7,10.27,34.3,47.9
690,207366,1,10.07,,9.78
692,201956,2,10.46,,254.0
696,202466,2,9.48,,2.11
698,202837,2,9.99,,10.6
701,212365,1,8.04,,0.014
706,200225,7,10.63,37.1,154.0
707,200264,7,10.26,34.3,47.9
708,208758,1,9.54,,5.05
709,200264,7,10.26,34.3,47.9
712,201418,2,10.33,,1060.0
717,208137,1,9.51,,6.58
718,209944,1,9.39,,2.74
720,203327,1,10.11,,714.0
725,202950,2,9.98,,12.4
729,202950,2,9.98,,12.4
730,200225,7,10.63,37.1,154.0
731,200264,7,10.27,34.3,47.9
732,202837,2,9.99,,10.6
742,208141,1,10.18,,6.58
751,200225,7,10.63,37.1,154.0
753,200225,7,10.63,37.1,154.0
759,200373,6,10.29,7.12,25.4
764,202043,2,10.17,,37.8
766,205801,1,9.66,,22.8
767,200373,6,10.22,7.12,25.4
768,202010,2,10.1,,6.75
772,207197,1,9.58,,10.6
774,208488,1,9.53,,5.76
775,201956,2,10.46,,254.0
778,210062,1,9.57,,2.53
779,207318,1,10.37,,10.0
781,208819,1,9.63,,4.91
782,210248,1,9.69,,2.28
789,202114,2,10.08,,15.3
790,202114,2,10.16,,15.3
791,200264,7,10.27,34.3,47.9
793,205279,1,9.78,,33.1
796,200389,5,10.84,5460.0,3410.0
798,207495,1,9.92,,9.28
801,200225,7,10.63,37.1,154.0
802,203096,1,10.41,,2200.0
808,206666,1,9.61,,13.8
810,202010,2,10.04,,6.75
814,204284,1,10.07,,92.9
816,200264,7,10.27,34.3,47.9
818,206011,1,10.07,,20.0
819,204343,1,10.01,,83.6
823,202180,2,10.04,,34.9
836,210165,1,9.52,,2.4
843,202547,2,9.97,,29.7
847,207925,1,9.59,,7.31
851,202487,2,10.4,,331.0
852,201346,3,10.18,,9.78
865,202784,2,10.04,,9.28
867,202784,2,10.04,,9.28
875,201346,3,10.18,,9.78
876,207596,1,9.57,,8.57
879,202180,2,10.04,,34.9
880,205874,1,9.89,,21.7
885,211154,1,9.1,,1.24
887,201763,2,10.06,,29.0
892,202487,2,10.39,,331.0
894,207707,1,9.82,,8.13
895,201763,2,10.06,,29.0
896,200646,4,10.11,,19.0
897,200319,6,10.33,79.1,29.7
902,210806,1,9.71,,1.62
908,200037,21,10.72,150.0,150.0
909,206003,1,9.69,,20.0
910,200196,8,10.4,23.7,28.2
911,206652,1,9.67,,13.8
916,205449,1,10.05,,28.2
917,205966,1,9.69,,20.5
921,201346,3,10.18,,9.78
922,200196,8,10.4,23.7,28.2
929,212207,1,8.31,,0.149
930,212376,1,8.16,,0.005
940,209963,1,9.63,,2.67
941,200646,4,10.11,,19.0
949,200196,8,10.4,23.7,28.2
952,200196,8,10.4,23.7,28.2
953,200646,4,10.11,,19.0
954,209190,1,9.4,,4.08
960,203253,1,10.3,,955.0
963,211877,1,9.01,,0.531
967,200701,4,10.34,,35.8
970,200646,4,10.11,,19.0
971,200701,4,10.34,,35.8
973,206169,1,9.8,,18.5
974,200196,8,10.4,23.7,28.2
978,207997,1,10.23,,7.12
979,205612,1,9.75,,25.4
981,207927,1,9.64,,7.31
982,210012,1,9.78,,2.6
983,200701,4,10.34,,35.8
993,208907,1,9.67,,4.66
995,203471,1,10.1,,409.0
996,205564,1,9.87,,26.1
1009,204603,1,10.22,,62.4
1010,209618,1,9.27,,3.22
1011,200701,4,10.34,,35.8
1013,201915,2,9.9,,9.04
1019,209382,1,10.17,,3.67
1022,200440,5,10.34,2.93,59.2
1024,200225,7,10.51,37.1,154.0
1025,200037,21,10.63,150.0,150.0
1028,200985,3,10.09,,30.5
1029,201915,2,9.9,,9.04
1030,211400,1,10.18,,1.0
1034,212380,1,8.44,,0.0
1037,200319,6,10.33,79.1,29.7
1042,203180,1,10.2,,1390.0
1044,207928,1,9.77,,7.31
1046,200037,21,10.72,150.0,150.0
1047,201098,3,10.23,,18.5
1048,201220,3,9.64,,5.18
1049,209832,1,9.48,,2.89
1051,211289,1,9.05,,1.12
1052,209985,1,9.35,,2.67
1074,209585,1,9.86,,3.3
1082,200037,21,10.52,150.0,150.0
1083,200440,5,10.34,2.93,59.2
1084,200037,21,10.77,150.0,150.0
1090,200037,21,10.77,150.0,150.0
1095,205516,1,9.97,,27.5
1102,209147,1,9.38,,4.19
1103,204623,1,10.22,,60.8
1104,201810,2,10.3,,115.0
1106,210414,1,9.48,,2.05
1108,200037,21,10.77,150.0,150.0
1109,211472,1,9.17,,0.927
1113,208097,1,9.66,,6.75
1114,211684,1,9.7,,0.711
1119,200037,21,10.77,150.0,150.0
1123,211688,1,9.12,,0.711
1125,209216,1,9.68,,4.08
1126,200440,5,10.34,2.93,59.2
1127,209182,1,10.09,,4.19
1129,201682,2,10.41,,1150.0
1130,211455,1,9.06,,0.927
1132,200319,6,10.33,79.1,29.7
1137,205412,1,10.05,,29.7
1138,200037,21,10.77,150.0,150.0
1142,211228,1,9.65,,1.18
1144,200319,6,10.33,79.1,29.7
1145,201726,2,9.89,,9.78
1146,201941,2,9.96,,8.13
1149,200440,5,10.34,2.93,59.2
1150,203219,1,10.47,,1150.0
1158,201800,2,9.88,,2.89
1160,212242,1,8.75,,0.118
1162,210451,1,9.21,,2.05
1165,201726,2,9.9,,9.78
1170,201800,2,9.88,,2.89
1171,200037,21,10.77,150.0,150.0
1172,200985,3,10.09,,30.5
1173,207516,1,10.13,,9.04
1174,203132,1,10.3,,1750.0
1175,211180,1,10.23,,1.21
1179,204678,1,9.86,,57.7
1180,211704,1,9.01,,0.693
1183,200037,21,10.77,150.0,150.0
1187,200037,21,10.77,150.0,150.0
1189,200819,3,10.56,,14200.001
1191,200037,21,10.77,150.0,150.0
1193,209383,1,9.46,,3.67
1194,200037,21,10.77,150.0,150.0
1197,200037,21,10.77,150.0,150.0
1198,200196,8,10.31,23.7,28.2
1199,211417,1,9.69,,0.977
1201,210201,1,9.26,,2.34
1204,200037,21,10.77,150.0,150.0
1208,200037,21,10.77,150.0,150.0
1211,206497,1,9.87,,15.3
1213,205797,1,9.99,,22.8
1216,209649,1,9.98,,3.22
1219,200037,21,10.77,150.0,150.0
1223,208182,1,9.88,,6.58
1224,209186,1,9.46,,4.08
1226,200196,8,10.37,23.7,28.2
1228,201941,2,9.96,,8.13
1229,201021,3,10.16,,29.0
1230,101915,2,10.21,,64.8
1236,201021,3,10.16,,29.0
1237,205707,1,9.82,,24.1
1238,202682,2,9.9,,2.67
1252,211488,1,9.65,,0.903
1255,208928,1,9.53,,4.66
1256,205473,1,10.16,,28.2
1261,201365,3,10.09,,9.28
1264,201348,3,10.4,,6.93
1267,200037,21,10.77,150.0,150.0
1270,202578,2,9.82,,10.3
1271,205338,1,9.81,,31.4
1274,202578,2,9.82,,10.3
1275,209659,1,9.88,,3.22
1276,210040,1,10.47,,2.53
1285,210821,1,9.96,,1.57
1287,200045,18,10.63,49.0,97.9
1288,211941,1,8.94,,0.442
1294,202682,2,9.9,,2.67
1299,210237,1,9.82,,2.28
1302,204689,1,10.14,,57.7
1306,200988,3,9.83,,6.58
1308,207805,1,9.68,,7.71
1309,200988,3,9.83,,6.58
1315,201348,3,10.37,,6.93
1318,200914,3,,,7990.0
1319,201728,2,10.36,,229.0
1325,201021,3,10.16,,29.0
1326,201365,3,10.09,,9.28
1330,210060,1,9.44,,2.53
1333,200045,18,10.63,49.0,97.9
1339,200045,18,10.63,49.0,97.9
1340,200045,18,10.63,49.0,97.9
1343,200914,3,,,7990.0
1349,206714,1,10.12,,13.4
1351,200045,18,10.63,49.0,97.9
1353,202075,2,10.02,,1.27
1359,202075,2,10.02,,1.27
1362,200045,18,10.63,49.0,97.9
1363,202772,2,9.85,,18.0
1371,200045,18,10.63,49.0,97.9
1374,201237,3,9.69,,3.3
1375,200045,18,10.63,49.0,97.9
1377,202772,2,9.85,,18.0
1379,203553,1,10.07,,349.0
1380,200988,3,9.83,,6.58
1382,200045,18,10.63,49.0,97.9
1383,200045,18,10.63,49.0,97.9
1384,209923,1,9.25,,2.74
1388,201237,3,9.69,,3.3
1390,200989,3,10.13,,51.9
1391,200989,3,10.13,,51.9
1392,201874,2,10.36,,625.0
1395,209548,1,9.29,,3.39
1396,200045,18,10.63,49.0,97.9
1398,201874,2,10.39,,625.0
1399,206835,1,9.74,,12.7
1404,210612,1,9.33,,1.8
1405,200045,18,10.63,49.0,97.9
1407,200045,18,10.63,49.0,97.9
1409,209726,1,9.24,,3.13
1412,200045,18,10.63,49.0,97.9
1414,210830,1,10.17,,1.57
1415,210172,1,9.18,,2.4
1423,200045,18,10.63,49.0,97.9
1425,200037,21,10.77,150.0,150.0
1426,207879,1,9.98,,7.51
1427,202264,2,9.76,,7.31
1429,200045,18,10.63,49.0,97.9
1433,200832,3,10.47,,431.0
1439,200037,21,10.55,150.0,150.0
1442,208877,1,10.02,,4.79
1451,210707,1,9.47,,1.7
1452,201237,3,9.69,,3.3
1454,206561,1,9.73,,14.6
1461,209913,1,9.22,,2.82
1463,201714,2,9.91,,10.6
1464,204720,1,10.17,,54.7
1468,203830,1,10.24,,190.0
1470,202264,2,9.66,,7.31
1480,200989,3,10.13,,51.9
1481,201761,2,10.25,,57.7
1485,202375,2,9.96,,46.7
1486,211309,1,9.55,,1.09
1490,207951,1,9.75,,7.31
1493,208493,1,9.45,,5.61
1501,202701,2,9.77,,12.7
1504,201830,2,10.5,,1520.0
1506,202541,2,9.67,,2.74
1507,210390,1,10.6,,2.11
1509,210039,1,9.94,,2.53
1512,202164,2,10.06,,25.4
1513,200451,5,10.37,55.1,97.9
1514,210801,1,9.9,,1.62
1518,211547,1,9.05,,0.856
1519,200487,5,10.67,2.01,955.0
1525,212367,1,8.7,,0.013
1526,201355,3,9.96,,18.5
1527,211322,1,9.52,,1.09
1528,205301,1,9.76,,32.2
1532,201714,2,9.91,,10.6
1533,209272,1,9.5,,3.98
1542,201355,3,9.96,,18.5
1546,210976,1,9.44,,1.42
1551,208967,1,10.08,,4.54
1553,202541,2,9.48,,2.74
1554,204143,1,10.2,,112.0
1564,201355,3,9.96,,18.5
1566,202774,2,9.82,,17.1
1567,210557,1,9.49,,1.89
1572,208463,1,10.28,,5.76
1576,203209,1,10.13,,1240.0
1577,202774,2,9.82,,17.1
1581,206290,1,9.99,,17.1
1583,210125,1,9.6,,2.47
1591,210839,1,9.18,,1.57
1592,202827,2,9.89,,6.93
1595,200291,6,10.79,723.0,930.0
1609,209583,1,9.48,,3.3
1610,207867,1,9.5,,7.51
1611,206253,1,9.79,,17.5
1614,207794,1,9.48,,7.71
1615,211786,1,9.15,,0.623
1616,210736,1,9.43,,1.7
1619,208323,1,9.93,,6.07
1624,200291,6,10.81,723.0,930.0
1633,200045,18,10.63,49.0,97.9
1634,211672,1,9.53,,0.73
1637,208036,1,9.5,,6.93
1642,200451,5,10.37,55.1,97.9
1651,200497,5,9.81,8.24,5.18
1654,209747,1,10.1,,3.05
1656,201276,4,9.8,,7.12
1658,210233,1,9.88,,2.28
1659,206592,1,9.87,,14.6
1660,201276,4,9.8,,7.12
1665,212153,1,8.46,,0.211
1666,206168,1,9.7,,18.5
1668,203617,1,10.12,,298.0
1671,201096,3,9.98,,19.0
1673,208266,1,9.9,,6.24
1674,210799,1,9.91,,1.62
1675,208946,1,9.57,,4.54
1676,211443,1,9.76,,0.952
1677,201096,3,9.98,,19.0
1678,204866,1,10.15,,47.9
1679,200451,5,10.37,55.1,97.9
1681,203805,1,10.12,,200.0
1683,209748,1,9.99,,3.05
1684,202741,2,10.19,,83.6
1691,200291,6,10.81,723.0,930.0
1693,201276,4,9.8,,7.12
1698,200639,4,10.48,,190.0
1700,204797,1,9.94,,50.5
1701,207628,1,9.75,,8.57
1715,201276,4,9.8,,7.12
1719,201229,3,9.81,,7.71
1720,200470,5,10.09,24.2,19.5
1724,200470,5,10.1,24.2,19.5
1729,207786,1,9.8,,7.92
1733,203344,1,10.17,,659.0
1736,200470,5,10.1,24.2,19.5
1739,201592,2,10.27,,223.0
1749,208590,1,9.56,,5.46
1753,200495,5,10.07,1.66,13.4
1755,207719,1,9.65,,8.13
1759,201229,3,9.84,,7.71
1762,201229,3,9.84,,7.71
1767,200291,6,10.78,723.0,930.0
1768,211198,1,9.6,,1.21
1771,212293,1,8.05,,0.071
1772,208774,1,10.01,,5.05
1773,210549,1,9.57,,1.89
1779,208403,1,9.6,,5.92
1782,200470,5,10.1,24.2,19.5
1784,200495,5,10.07,1.66,13.4
1787,200495,5,10.07,1.66,13.4
1791,200495,5,10.07,1.66,13.4
1794,200495,5,10.07,1.66,13.4
1798,201592,2,10.29,,223.0
1801,203580,1,10.1,,322.0
1806,203705,1,10.18,,247.0
1810,200124,10,10.69,359.0,480.0
1813,200497,5,9.81,8.24,5.18
1815,202395,2,9.93,,4.19
1816,209779,1,9.69,,2.97
1817,210618,1,9.78,,1.8
1839,206703,1,9.77,,13.4
1841,202360,3,9.6,,2.89
1842,200787,4,10.01,,17.5
1844,208383,1,10.01,,5.92
1845,208072,1,9.56,,6.75
1851,200497,5,9.81,8.24,5.18
1852,209470,1,9.36,,3.48
1855,212080,1,9.52,,0.304
1862,202768,2,9.67,,2.89
1863,207397,1,9.62,,9.53
1867,200787,4,10.01,,17.5
1868,206848,1,10.01,,12.7
1869,206867,1,9.63,,12.4
1872,210268,1,9.84,,2.22
1875,202768,2,9.67,,2.89
1876,202322,2,9.8,,7.51
1878,208727,1,9.65,,5.18
1883,200426,5,10.1,76.4,26.1
1884,202395,2,10.19,,4.19
1886,209445,1,9.86,,3.58
1888,208479,1,9.97,,5.61
1889,200124,10,10.76,359.0,480.0
1896,200787,4,10.01,,17.5
1897,206722,1,9.62,,13.4
1900,200124,10,10.76,359.0,480.0
1901,201301,3,10.09,,25.4
1905,210872,1,9.44,,1.53
1906,200426,5,10.1,76.4,26.1
1907,211235,1,9.26,,1.18
1908,209951,1,9.7,,2.74
1909,202360,3,9.6,,2.89
1910,200787,4,10.01,,17.5
1911,201301,3,10.09,,25.4
1912,202322,2,9.9,,7.51
1914,211735,1,9.09,,0.657
1916,200470,5,9.99,24.2,19.5
1917,201301,3,10.09,,25.4
1918,200124,10,10.76,359.0,480.0
1923,210686,1,9.22,,1.75
1924,212285,1,8.44,,0.08
1929,211336,1,9.2,,1.06
1932,202360,3,9.6,,2.89
1933,206218,1,9.68,,18.0
1941,211104,1,9.44,,1.31
1942,206726,1,9.96,,13.4
1945,209047,1,9.39,,4.42
1950,201443,2,10.03,,73.2
1952,210712,1,9.24,,1.7
1958,211059,1,9.65,,1.34
1961,206680,1,9.92,,13.8
1962,202866,3,9.94,,19.0
1964,206416,1,10.14,,16.2
1968,202025,2,9.91,,22.2
1976,204278,1,10.36,,92.9
1977,212030,1,8.73,,0.358
1979,211163,1,9.6,,1.24
1982,210840,1,9.65,,1.57
1983,201073,3,10.28,,50.5
1986,211815,1,9.04,,0.591
1989,201407,2,10.46,,677.0
1993,200124,10,10.76,359.0,480.0
2000,200497,5,9.81,8.24,5.18
2009,203655,1,10.05,,268.0
2010,209213,1,9.61,,4.08
2017,205025,1,9.81,,40.9
2019,200426,5,10.17,76.4,26.1
2020,205893,1,9.64,,21.7
2021,211830,1,9.8,,0.575
2026,209798,1,9.41,,2.97
2027,200735,4,10.08,,7.92
2028,211097,1,9.67,,1.31
2029,200735,4,10.08,,7.92
2030,200735,4,10.08,,7.92
2033,206661,1,9.85,,13.8
2034,200270,7,10.17,16.1,28.2
2035,208746,1,9.75,,5.05
2037,211754,1,9.3,,0.657
2042,200573,4,10.73,,1830.0
2043,202591,2,9.86,,7.92
2047,207082,1,10.06,,11.2
2052,211837,1,9.55,,0.56
2053,200497,5,9.81,8.24,5.18
2055,200124,10,10.71,359.0,480.0
2058,201360,3,10.09,,28.2
2061,209724,1,10.12,,3.05
2062,205582,1,10.05,,26.1
2064,202591,2,9.86,,7.92
2070,208730,1,9.72,,5.18
2073,200069,14,10.58,154.0,195.0
2076,201069,3,10.15,,22.2
2077,209836,1,9.67,,2.89
2081,210741,1,9.46,,1.66
2084,200735,4,10.08,,7.92
2090,200124,10,10.71,359.0,480.0
2092,201360,3,10.09,,28.2
2095,203572,1,10.26,,331.0
2096,200573,4,10.75,,1830.0
2097,200404,5,10.76,622.0,4290.0
2100,209022,1,9.49,,4.42
2101,200573,4,10.75,,1830.0
2103,200124,10,10.71,359.0,480.0
2110,201967,2,9.67,,8.35
2112,208542,1,10.1,,5.61
2115,201967,2,9.67,,8.35
2116,201360,3,10.09,,28.2
2120,200124,10,10.55,359.0,480.0
2122,211903,1,9.54,,0.491
2125,200069,14,10.56,154.0,195.0
2130,200270,7,10.17,16.1,28.2
2131,200270,7,10.17,16.1,28.2
2133,211276,1,9.08,,1.12
2134,202607,2,10.15,,15.8
2137,201124,3,10.34,,77.2
2138,211912,1,8.81,,0.478
2141,202420,2,9.88,,5.32
2143,210706,1,9.6,,1.7
2144,205292,1,10.03,,32.2
2145,204823,1,10.19,,50.5
2147,210191,1,9.99,,2.34
2149,201069,3,10.27,,22.2
2154,207831,1,9.74,,7.71
2157,202708,2,9.43,,2.22
2161,200270,7,10.17,16.1,28.2
2164,202708,2,9.43,,2.22
2166,209676,1,9.34,,3.13
2168,201124,3,10.34,,77.2
2169,211752,1,9.64,,0.657
2172,204480,1,9.91,,71.3
2173,205384,1,9.95,,30.5
2176,202132,2,10.32,,135.0
2182,201069,3,10.27,,22.2
2190,208250,1,10.56,,6.24
2192,202324,2,9.62,,2.28
2194,206428,1,9.82,,15.8
2195,211765,1,10.03,,0.64
2199,202420,2,9.88,,5.32
2200,206180,1,9.78,,18.5
2202,208438,1,10.04,,5.76
2206,210733,1,9.26,,1.7
2210,201124,3,10.34,,77.2
2223,200053,16,10.58,53.9,79.2
2224,204056,1,10.22,,128.0
2228,212118,1,8.7,,0.253
2229,202854,2,9.73,,8.57
2231,200380,6,10.05,3.87,13.8
2232,209458,1,9.67,,3.58
2241,202324,2,9.62,,2.28
2242,205173,1,9.92,,35.8
2243,205868,1,9.85,,21.7
2246,211409,1,9.36,,0.977
2250,208115,1,9.69,,6.75
2253,208850,1,9.52,,4.79
2258,209021,1,9.71,,4.42
2266,208441,1,9.47,,5.76
2268,202607,2,10.14,,15.8
2269,211701,1,9.33,,0.693
2276,210881,1,9.62,,1.53
2277,200069,14,10.72,154.0,195.0
2279,200053,16,10.58,53.9,79.2
2287,200380,6,10.05,3.87,13.8
2288,210716,1,9.48,,1.7
2291,200053,16,10.58,53.9,79.2
2298,200380,6,10.05,3.87,13.8
2301,209767,1,9.84,,3.05
2303,202847,2,10.23,,11.5
2307,206896,1,9.61,,12.4
2308,211344,1,9.54,,1.06
2309,200380,6,10.05,3.87,13.8
2311,203865,1,10.03,,180.0
2312,211215,1,9.61,,1.18
2327,201289,3,10.04,,9.78
2328,208007,1,9.62,,7.12
2331,202847,2,10.23,,11.5
2338,202778,2,9.64,,1.66
2342,211591,1,9.72,,0.812
2343,204337,1,9.84,,83.6
2344,200127,10,10.85,183.0,480.0
2349,202102,2,9.23,,0.674
2350,200980,3,10.16,,59.2
2352,201201,3,10.03,,9.78
2353,200980,3,10.14,,59.2
2356,211297,1,9.1,,1.12
2357,201201,3,10.03,,9.78
2358,208644,1,9.7,,5.32
2359,200053,16,10.58,53.9,79.2
2362,200053,16,10.58,53.9,79.2
2366,200053,16,10.49,53.9,79.2
2369,202778,2,9.64,,1.66
2371,200053,16,10.58,53.9,79.2
2372,200127,10,10.87,183.0,480.0
2375,206348,1,9.65,,16.6
2376,200053,16,10.58,53.9,79.2
2377,201289,3,10.04,,9.78
2378,211048,1,9.15,,1.38
2380,202189,2,9.28,,1.62
2381,200380,6,10.05,3.87,13.8
2382,200053,16,10.58,53.9,79.2
2387,200053,16,10.58,53.9,79.2
2388,201201,3,10.03,,9.78
2390,202202,2,9.45,,2.22
2391,210412,1,9.26,,2.05
2393,200053,16,10.58,53.9,79.2
2394,211842,1,9.18,,0.56
2395,202189,2,9.29,,1.62
2396,202202,2,9.45,,2.22
2397,200053,16,10.58,53.9,79.2
2398,208273,1,9.47,,6.24
2399,206781,1,10.02,,13.1
2402,207330,1,9.69,,9.78
2404,200127,10,10.87,183.0,480.0
2416,211189,1,9.07,,1.21
2417,200069,14,10.73,154.0,195.0
2424,209498,1,9.35,,3.48
2426,201649,2,10.17,,97.9
2428,203029,1,10.44,,3490.0
2430,200127,10,10.87,183.0,480.0
2431,200127,10,10.85,183.0,480.0
2433,211406,1,9.05,,1.0
2434,211258,1,9.78,,1.15
2437,202102,2,9.23,,0.674
2440,210826,1,9.39,,1.57
2441,200187,8,10.31,61.5,27.5
2443,200705,4,10.18,,25.4
2449,200053,16,10.58,53.9,79.2
2450,206565,1,9.82,,14.6
2451,200069,14,10.73,154.0,195.0
2454,208077,1,9.56,,6.75
