source_id,normalized_name,ra,dec,pgc,host_logmass,z_hd,z_hd_err,z_cmb,z_cmb_err,z_hel,z_hel_err,vpec,vpecerr,pantheon_id,separation_arcsec,sigma_measured,sigma_inferred,log_d25,r25_arcsec,r_eff_arcsec
N3972,NGC 3972,178.93787699999996,55.320735,37466,10.417,0.00349,0.00084,0.00369,2e-05,0.00313,2e-05,61.7743,250.0,2011by,18.04572886564375,28.24645,28.24645,1.590000033378601,116.71355438232422,58.35677719116211
N3982,NGC 3982,179.11726896503,55.12523877407,37520,10.199,0.00349,0.00084,0.00369,1e-05,0.00313,1e-05,61.7743,250.0,1998aq,22.78719524707538,73.0,73.0,1.3700000047683716,70.32686614990234,35.16343307495117
N4038,NGC 4038,180.47084166666667,-18.86758888888889,37967,10.682,0.00571,0.00084,0.0066,2e-05,0.00542,2e-05,265.999,250.0,2007sr,378.7708452742237,107.39049067798273,107.39049067798273,1.7200000286102295,157.4422607421875,78.72113037109375
N4258,NGC 4258,184.7400833333333,47.30371944444444,39600,9.2773,0.27995,0.00146,0.27987,0.001,0.279,0.001,-18.8469,250.0,040201,855.3079521736327,148.0,148.0,2.2699999809265137,558.6260986328125,279.31304931640625
N4424,NGC 4424,186.79822551483997,9.420647348250002,40809,9.633,0.00256,0.00084,0.00256,2e-05,0.00144,2e-05,0.0,250.0,2012cg,17.00238784698351,56.79999923706055,56.79999923706055,1.559999942779541,108.92340087890625,54.461700439453125
N4536,NGC 4536,188.6130369583333,2.1878799999999994,41823,9.686,0.00317,0.00084,0.0035,1e-05,0.00236,1e-05,97.8762,250.0,1981B,55.9105778163047,85.0,85.0,1.8799999952316284,227.57327270507812,113.78663635253906
N4639,NGC 4639,190.71824375014,13.257418376,42741,9.802,0.00359,0.00084,0.00462,2e-05,0.00355,2e-05,308.577,250.0,1990N,62.30683330267207,96.0,96.0,1.440000057220459,82.62686920166016,41.31343460083008
N4680,NGC 4680,191.7281208333333,-11.637038888888888,43118,9.75,0.00864,0.00085,0.00931,0.00015,0.00817,0.00015,201.132,250.0,1997bp,24.446560387977243,102.67397940972218,102.67397940972218,1.159999966621399,43.363189697265625,21.681594848632812
N5468,NGC 5468,211.6453774379183,-5.4529774527145,50323,10.441,0.00954,0.00086,0.00998,0.00019,0.00907,0.00019,129.581,250.0,1999cp,59.292776401821115,67.6076848302315,67.6076848302315,1.4199999570846558,78.90803527832031,39.454017639160156
N5584,NGC 5584,215.5992125,-0.3874499999999999,51344,10.331,0.00625,0.00084,0.00635,1e-05,0.00552,1e-05,31.5763,250.0,2007af,46.38789811558817,54.18593,54.18593,1.5299999713897705,101.65324401855469,50.826622009277344
N5643,NGC 5643,218.16990833333332,-44.174611111111105,51969,10.449,0.00331,0.00085,0.00478,0.00015,0.00411,0.00015,440.866,250.0,2017cbv,161.55395757688157,68.0,68.0,1.659999966621399,137.12644958496094,68.56322479248047
N5728,NGC 5728,220.59954937774,-17.25312243994,52521,10.636,0.00996,0.00086,0.0105,0.00015,0.00974,0.00015,161.695,250.0,2009Y,22.839020246793933,176.0,176.0,1.4900000095367432,92.7088623046875,46.35443115234375
N5861,NGC 5861,227.31704695833332,-11.321661111111112,54097,10.591,0.00677,0.00085,0.00727,0.00015,0.00662,0.00015,147.138,250.0,2017erp,48.52831499170101,112.15979439887336,112.15979439887336,1.4800000190734863,90.59855651855469,45.299278259277344
N5917,NGC 5917,230.3856254335,-7.377089110400001,54809,9.184,0.0071,0.00084,0.00703,6e-05,0.00644,6e-05,-21.2471,250.0,2005cf,130.12865238403774,54.47058823529411,54.47058823529411,1.1799999475479126,45.406829833984375,22.703414916992188
N7250,NGC 7250,334.5740666666667,40.56240555555555,68535,9.131,0.00432,0.00084,0.00293,0.00012,0.00394,0.00012,-413.1,250.0,2013dy,24.99083467580744,41.8235294117647,41.8235294117647,1.2400000095367432,52.13402557373047,26.067012786865234
N7329,NGC 7329,340.10094603963,-66.47895444826,69453,10.501,0.01028,0.00086,0.01042,0.00015,0.01077,0.00015,40.4087,250.0,2006bh,53.54862058969878,123.70785110805046,123.70785110805046,1.590000033378601,116.71355438232422,58.35677719116211
N7541,NGC 7541,348.68273750000003,4.5339,70795,10.935,0.00814,0.00084,0.00769,2e-05,0.00893,2e-05,-134.006,250.0,1998dh,54.28672324231253,64.4,64.4,1.5399999618530273,104.02104949951172,52.01052474975586
N7678,NGC 7678,352.11609521324993,22.421269142620005,71534,10.53,0.01061,0.00084,0.01049,1e-05,0.01169,1e-05,-34.4658,250.0,2002dp,45.51396021257647,76.86814,76.86814,1.3700000047683716,70.32686614990234,35.16343307495117
N976A,NGC 976,38.50015860403,20.976747665440005,9776,10.854,0.01312,0.00085,0.01334,0.0,0.01413,0.0,64.7561,250.0,1999dq,7.695661697895833,217.6444785764,217.6444785764,1.1699999570846558,44.37324523925781,22.186622619628906
SMC,SMC,13.158333333333331,-72.80027777777778,3085,,,,,,,,,,,,25.52941176470588,25.52941176470588,3.5,9486.8330078125,4743.41650390625
U9391,UGC 9391,218.65422,59.337826,52091,9.345,0.00747,0.00084,0.00664,2e-05,0.00638,2e-05,-244.618,250.0,2003du,15.61952370749146,74.52721,74.52721,1.2200000286102295,49.78761291503906,24.89380645751953
