beta,re_scale,n,r,p,slope,delta_h0,median_sigma,sigma_ref,alpha_opt,unified_h0,post_slope,post_r
0.0,0.7,29,0.43186660573439095,0.01931378276110198,0.07360393213684219,4.628158226115971,94.5999984741211,75.25,0.5742187499999994,68.27674850293843,-2.941499303659504e-05,-0.00019203966265790535
0.0,0.75,29,0.43186660573439095,0.01931378276110198,0.07360393213684219,4.628158226115971,94.5999984741211,75.25,0.5742187499999994,68.27674850293843,-2.941499303659504e-05,-0.00019203966265790535
0.0,0.8,29,0.43186660573439095,0.01931378276110198,0.07360393213684219,4.628158226115971,94.5999984741211,75.25,0.5742187499999994,68.27674850293843,-2.941499303659504e-05,-0.00019203966265790535
0.0,0.85,29,0.43186660573439095,0.01931378276110198,0.07360393213684219,4.628158226115971,94.5999984741211,75.25,0.5742187499999994,68.27674850293843,-2.941499303659504e-05,-0.00019203966265790535
0.0,0.9,29,0.43186660573439095,0.01931378276110198,0.07360393213684219,4.628158226115971,94.5999984741211,75.25,0.5742187499999994,68.27674850293843,-2.941499303659504e-05,-0.00019203966265790535
0.0,0.95,29,0.43186660573439095,0.01931378276110198,0.07360393213684219,4.628158226115971,94.5999984741211,75.25,0.5742187499999994,68.27674850293843,-2.941499303659504e-05,-0.00019203966265790535
0.0,1.0,29,0.43186660573439095,0.01931378276110198,0.07360393213684219,4.628158226115971,94.5999984741211,75.25,0.5742187499999994,68.27674850293843,-2.941499303659504e-05,-0.00019203966265790535
0.0,1.05,29,0.43186660573439095,0.01931378276110198,0.07360393213684219,4.628158226115971,94.5999984741211,75.25,0.5742187499999994,68.27674850293843,-2.941499303659504e-05,-0.00019203966265790535
0.0,1.1,29,0.43186660573439095,0.01931378276110198,0.07360393213684219,4.628158226115971,94.5999984741211,75.25,0.5742187499999994,68.27674850293843,-2.941499303659504e-05,-0.00019203966265790535
0.0,1.15,29,0.43186660573439095,0.01931378276110198,0.07360393213684219,4.628158226115971,94.5999984741211,75.25,0.5742187499999994,68.27674850293843,-2.941499303659504e-05,-0.00019203966265790535
0.0,1.2,29,0.43186660573439095,0.01931378276110198,0.07360393213684219,4.628158226115971,94.5999984741211,75.25,0.5742187499999994,68.27674850293843,-2.941499303659504e-05,-0.00019203966265790535
0.0,1.25,29,0.43186660573439095,0.01931378276110198,0.07360393213684219,4.628158226115971,94.5999984741211,75.25,0.5742187499999994,68.27674850293843,-2.941499303659504e-05,-0.00019203966265790535
0.0,1.3,29,0.43186660573439095,0.01931378276110198,0.07360393213684219,4.628158226115971,94.5999984741211,75.25,0.5742187499999994,68.27674850293843,-2.941499303659504e-05,-0.00019203966265790535
0.01,0.7,29,0.43097419159859557,0.019593134191639956,0.07432773604257742,4.628158226115971,93.64207935030198,75.25,0.5758593749999994,68.3430994320043,-2.5731711478519368e-05,-0.0001658101237835692
0.01,0.75,29,0.4309741915985955,0.019593134191639956,0.0743790345761151,4.628158226115971,93.57749527260482,75.25,0.5758593749999994,68.34853021667222,-2.575151679408245e-05,-0.00016581012377786666
0.01,0.8,29,0.4309741915985954,0.01959313419164002,0.07442705319865463,4.628158226115971,93.51712122539251,75.25,0.5758593749999994,68.35361076711112,-2.577005723021663e-05,-0.0001658101237830649
0.01,0.85,29,0.4309741915985955,0.019593134191639956,0.07447218799820363,4.628158226115971,93.4604440062268,75.25,0.5758593749999994,68.35838355465454,-2.5787485450588726e-05,-0.00016581012378008128
