parameter,value,error,source_id,normalized_name,ra,dec,pgc,host_logmass,z_hd,z_hd_err,z_cmb,z_cmb_err,z_hel,z_hel_err,vpec,vpecerr,pantheon_id,separation_arcsec,sigma_measured,sigma_inferred,r25_arcsec,r_eff_arcsec,sigma_corrected,sigma_delta,velocity,distance_mpc,h0_derived,rho_local,pgc_int,tully_nest,tully_nmb,tully_logpK,tully_mvir_tmsun,tully_mlum_tmsun,tully_is_group,tully_is_cluster
mu_N0691,32.822200385691815,0.0876811481466406,N0691,NGC 0691,27.673786536389997,21.759970445709996,6793,10.827,0.00855,0.00084,0.00861,2e-05,0.00954,2e-05,15.8947,250.0,2005W,56.21610210131819,107.5,101.3752795154129,104.02104949951172,52.01052474975586,101.3752795154129,-6.124720484587101,2563.2255159,36.68090795542163,69.87900951129924,0.045719629456313596,6793,200365.0,7.0,10.04,4.31,15.8,True,True
mu_N1015,32.617748081806354,0.060076741756443,N1015,NGC 1015,39.54813215151,-1.3187773861799998,9988,9.906,0.00815,0.00084,0.00801,2e-05,0.00877,2e-05,-43.0674,250.0,2009ig,22.619141847191347,106.5,101.5484288080592,78.90803527832031,39.45401763916016,101.5484288080592,-4.951571191940786,2443.3085326999994,33.38486438240733,73.18611526208682,0.016663801652030918,9988,211363.0,1.0,9.5,,1.03,False,False
mu_N105A,34.49337496345146,0.1193578058476688,N105A,NGC 105,6.31979949466,12.88386496266,1583,10.123,0.01682,0.00085,0.01646,9e-05,0.01765,9e-05,-104.478,250.0,2007A,10.658738312317682,56.70588235294118,55.94376801304348,33.66054916381836,16.83027458190918,55.94376801304348,-0.7621143398976997,5042.509143560001,79.19084784331912,63.67540291444687,0.026509287640434868,1583,210125.0,1.0,9.6,,2.47,False,False
mu_N1309,32.50896360923545,0.0506780279748096,N1309,NGC 1309,50.52731207393,-15.39994213692,12626,9.89,0.00719,0.00085,0.00668,0.00015,0.00719,0.00015,-152.591,250.0,2002fk,12.667845748592352,82.0,78.76575664889279,65.63285827636719,32.816429138183594,78.76575664889279,-3.23424335110721,2155.50777302,31.753581879949163,67.8823504437809,0.032437285809264374,12626,211466.0,1.0,9.37,,0.927,False,False
mu_N1365,31.325415435304393,0.0500632419879221,N1365,NGC 1365,53.40190833333333,-36.140658333333334,13179,10.732,0.00483,0.00085,0.0046,0.00015,0.00492,0.00015,-67.5086,250.0,2012fr,49.12435147913568,151.39999389648438,136.222692185725,336.6054992675781,168.30274963378906,136.222692185725,-15.177301710759366,1447.9975721399999,18.411242025051916,78.64746822456247,0.0085738078236374,13179,200015.0,49.0,10.75,80.5,106.0,True,True
mu_N1559,31.460782722043717,0.0516333818314369,N1559,NGC 1559,64.3989619176,-62.78368099094,14814,9.552,0.00407,0.00084,0.00435,1e-05,0.00435,1e-05,86.1777,250.0,2005df_ANU,53.734349345457694,72.62999725341797,68.49196532808296,104.02104949951172,52.01052474975586,68.49196532808296,-4.138031925335014,1220.15530406,19.595508797024976,62.26708970400636,0.01592037525272058,14814,211346.0,1.0,10.29,,1.06,False,False
mu_N2442,31.4652294026005,0.0546366996015776,N2442,NGC 2442,114.09904189399002,-69.53083273787,21373,12.198,0.00488,0.00084,0.00515,2e-05,0.00476,2e-05,80.5777,250.0,2015F,97.30833663299931,144.1558096642322,133.46142202191885,164.86227416992188,82.43113708496094,133.46142202191885,-10.69438764231336,1462.98719504,19.635677046362204,74.5065826651004,1.7590781179647055,21373,200281.0,7.0,9.98,2.93,11.2,True,True
mu_N2525,32.011384501587315,0.0606591197975918,N2525,NGC 2525,121.40849930031004,-11.427045532359998,22721,10.06,0.00602,0.00085,0.00596,0.00015,0.0051,0.00015,-18.777,250.0,2018gv,64.37758304478365,86.51095659398678,82.18540746649323,86.52095031738281,43.260475158691406,82.18540746649323,-4.325549127493545,1804.7505971599999,25.25090222890662,71.4727173231048,0.04164780171736899,22721,102238.0,2.0,9.39,,2.15,True,False
mu_N2608,32.62780095307231,0.1148434167441643,N2608,NGC 2608,128.82220753716,28.473398979510005,24111,10.449,0.00855,0.00084,0.00796,1e-05,0.00719,1e-05,-174.166,250.0,2001bg,28.266810170067377,86.61143545918993,83.04219771981289,68.72603607177734,34.36301803588867,83.04219771981289,-3.569237739377044,2563.2255159,33.539778535405226,76.42344785294902,0.08684446976159967,24111,111917.0,1.0,9.47,,1.08,False,False
mu_N3021,32.3915782508941,0.0966189000632787,N3021,NGC 3021,147.73810673169,33.55359289002,28357,10.296,0.00673,0.00084,0.00592,6e-05,0.00504,6e-05,-242.468,250.0,1995al,15.732375475256362,57.29999923706055,55.75428035953865,47.54679870605469,23.773399353027344,55.75428035953865,-1.5457188775218995,2017.60324234,30.082619473228053,67.06873529200342,0.25554996855221923,28357,102672.0,2.0,9.77,,1.2,True,False
